id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1926073,2021-03-19,Yeni tikili,4 / 8,138 m²,3,yoxdur,219 000AZN,vasitəçi (agent),"ALICILAR ÜÇÜN 0% KOMİSSİYA.
Bakının Xətai rayonunun Ağ Şəhərdə Mərkəzi Bulvar küç 6 ünvanında, yeni tikili binada mənzili diqqətinizə təqdim edirik.
ÜMUMİ SAHƏSİ: 138 kv.m.– 3 otaq. 8 mərtəbəli binanın 4-cü mərtəbəsi.
✅Qaralama təmirli. 
✅Tavan hündürlüyü 3.45 m.
✅Multifunksional şüşə paketindən pəncərə.
✅Dəmir giriş qapısı. 
✅2 ədəd birləşmiş sanitar qovşağı. 
✅Eyvan.
✅Lift.
✅Videomüşahidə/Mühafizə/Domofon/Kodnan qapı.
✅Sakit və təmiz həyət.
✅Maşın saxlamaq üçün yer var. 
YERLƏŞMƏ: Ev Xətai metrosunun yaxın ərazidə yerləşir. Ətrafda supermarketlər, park, poliklinika, uşaq bağçası, məktəb var.
ASAN SƏNƏDLƏŞMƏ:
✅Evin müqaviləsi var.
✅Borc və bank qarşısında öhdəlikləri yoxdur.
SİZƏ UYĞUN OLAN ZAMAN EVƏ BAXIŞ.
==================================================================
0% КОМИССИЯ ДЛЯ ПОКУПАТЕЛЕЙ.
В Хатаинском районе Баку в Белом Городе по ул. Центральный Бульвар 6, в новостройке представляем вашему вниманию квартиру.
ОБЩАЯ ПЛОЩАДЬ: 138 кв.м. – 3 комнаты. 4-ый этаж 8-этажного здания.
✅Черновой ремонт.
✅Высота потолка 3.45 м. 
✅Мультифункциональные окна из стеклопакета.
✅Железная входная дверь.
✅2 совмещённыx санузла. 
✅Балкон.
✅Лифт.
✅Видеонаблюдение/Охрана/Домофон/Кодовая дверь.
✅Спокойный и чистый двор.
✅Есть место для парковки машины. 
ШАГОВАЯ ДОСТУПНОСТЬ: Квартира расположена недалеко от метро Хатаи. Вблизи имеются супермаркеты, парк, поликлиника, детский сад, школа.
ЛЕГКО КУПИТЬ:
✅Имеется договор.
✅Без долгов и обременений.
ПОКАЗ В УДОБНОЕ ДЛЯ ВАС ВРЕМЯ.",464,"Ağ şəhər 
"," Xətai r.
",,,,,,,,
1973824,2021-03-19,Köhnə tikili,2 / 5,80 m²,3,var,140 000AZN,vasitəçi (agent),"Badamdar qəsəbəsi Cəmil Hasilov küçəsi,136 N-li orta məktəbin yaxınlığında köhnə tikili 5 mərtəbəli binanın 2-ci mərtəbəsində sahəsi 80 kv.m olan 3 otaqlı mənzil satılır. Mənzil keçən il yaxşı təmir olunub. 2 bağlı eyvanı, və ayrı-ayrılıqda olan, sanitar qovşağı var.Eyvanlarda şkaflar quraşdırılıb.Domofon var. Çox sakit məhlədir. Uşaqların oynaması üçün yer, və futbol meydançası var. Həyətdə maşın saxlamaq üçün yer var.Bloka giriş kodladır.
Mərkəzi istilik sistemi ilə təchiz olunub.
Mənzilin əşyasız  qiyməti 140.000 man ,
əşyalı isə  – 150000 manat təşkil edir. ",25,"Səbail r.
"," Badamdar q.
",,,,,,,,
1973823,2021-03-19,Köhnə tikili,4 / 5,36 m²,1,var,68 500AZN,vasitəçi (agent),"Təcili!!Yasamal rayon İnşaatçılar metrosuna yaxin Həsənbəy Zərdabi Prospektində 5 mertebeli binanin 4 cu mertebesinde 36 kv.m olan 1 otaqli menzil satilir.Mənzil orta blokda yerləşir. Əla təmirlidir.Təmirdən sonra yaşayış olmayıb.Qeydiyyatda heç kim yoxdur.Qaz, su, işıq daimidir.Mərkəzi istilik sistemi var.Hal-hazırda mənzil boşdur alqı-satqı günü açarlar təhvil veriləcək.Ofis haqqı 1%",7,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
1973822,2021-03-19,Yeni tikili,8 / 18,150 m²,3,var,300 000AZN,vasitəçi (agent),"Baki seheri Nerimanov rayonu Tiib universitetine yaxin,Asan xidmetin yaxinliginda ,yeni tikili 18 mertebeli binanin 8 ci mertebesinde yeni temirli,esyali menzil satilir",30,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,,,,,
1973819,2021-03-19,Yeni tikili,3 / 16,130 m²,3,var,215 000AZN,vasitəçi (agent),"Kupca var ! ! ! Tecili satilir ! ! ! 1 sayli seher kliniki xestexanasinin(semasko) arxasinda Delfinli bina kimi taninan Kompleksde 16/3 130kv Qanuni 3 otaqli menzil satilir. Menzilin temiri eladir,SKVAZNOYDUR ! ! ! Qaz, isiq,su daimidir. Menzil Alqi satqi gunu tehvil verilecek. Sirket haqqi-1%",5,"Tibb Universiteti 
"," Nəsimi r.
",,,,,,,,
1973818,2021-03-19,Yeni tikili,10 / 18,450 m²,6,var,1 600 000AZN,vasitəçi (agent),"📢 DİQQƏT:  
Şəhərin mərkəzində, Nərimanov r-u, Təbriz küç. 79 ünvanında, Heydər Əliyev Mərkəzinə panaromalı 6 otaqlı, tam əşyalı, ümumi sahəsi 450 kv/m olan lüks mənzil satılır. Mənzil 18 mərtəbəli binanın 10-cu mərtəbəsində yerləşir. Əsas üstünlükləri:
- Əsas otaqlarda xüsusi möhkəmliyə və davamlılığa malik təbii  parketlər;
- Dəhliz və mətbəxdə isti mərmər döşəmə;
- 4 sanitar qovşaq;
- Olduqca geniş və işıqlı otaqlar;
- 2 eyvan;
- 3 qarderob;
- Home cinema;                -Camaşırxana;
- Bina infrastruktur baxımından çox əlverişli ərazidə yerləşir;
- Binada 2 lift və 1 yeraltı qaraj sistemi var;
- Qaz, su, işıq daimidir;
- Telefon, domofon və interner var;
- Bütün kompleksdə 7/24 təhlükəsizlik sistemi fəaliyyət göstərir.",54,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
1973817,2021-03-19,Yeni tikili,4 / 12,90 m²,2,var,170 000AZN,vasitəçi (agent),"Qaz və Çıxarış! 
Yasamal Rayon İcra Hakimiyəti yaxınlığında, tam yaşayışlı yeni tikilidə 2 otaqlı mənzil əşyalar ilə birlikdə satılır. Əla təmirli,  Ümümi sahəsi -90 m2.. Mərtəbə: 4/12, istilik sistemi - kombi. Quraşdırılmış mətbəx mebeli. Mühafizə olunan həyəti. 2 sürətli “Sigma” lifti, 2 mərtəbəli yeraltı avto dayanacaq. Yaxınlıqda park yerləşir. Mənzil hal-hazırda 600 AZN məbləğində kirayədədir 
Yaxınlıqdakı metro - “Elmlər Akademiyası” .
KOD: 21683
--------------
Ясамальский район, около Ясамальской Исполнительной Власти в полностью заселённой новостройке продается 2-х комнатная квартира с мебелью. Этаж: 4/12. Общая площадь - 90 кв.м. Отличный ремонт, КАТВ, интернет-wifi, отопительная система – комби. Встроенная кухонная мебель. Охраняемый двор , 2 скоростных лифта, место для парковки автомобиля. 
Квартира на данный момент арендуется (ежемесячная оплата 600 АЗН).
Ближайшее метро : ""Эльмляр Академиясы"".
KOD: 21683
",4,"Bakı Dövlət Universiteti 
"," Memarlıq və İnşaat Universiteti 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,
1915492,2021-03-19,Yeni tikili,7 / 20,90 m²,2,var,290 000AZN,vasitəçi (agent),"Baki seheri Xetai rayonu Park azur yasayis kompleksinde yeni tikili 20 mertebeli binanin 7 ci mertebesinde temirli ,esyali menzil satilir",24,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
1973816,2021-03-19,Köhnə tikili,1 / 2,98 m²,3,var,252 200AZN,mülkiyyətçi,Səməd Vurğun bağı ilə üzbəüz. Metroya yaxın ərazidə. Ətrafda bir neçə məktəb və bağçalar var. Yeni təmirdən çıxıb. Sənəd kupçadır. Obyekt kimi də istifadə etmək olar. Kupça ya əsasən iki çıxışı var. İstək üzərinə Nizami küçəsinə tərəf binanın arxa tərəfinə qapı açmaq olar. Üç otaqdan əlavə 4kv kiçik otaq var. Uşaq otağı kimi istifadə etmək və ya həmin yerdən arxa həyətə qapı açmaq mümkündür. Döşəmə qalınntaxtadır. Tavanlar hündürdür. Divarların qalınlığı 80smdir. Evin altında evin ölçüsündə zirzəmisi var. Plana düşmüş ərazi sayılır. ,7,"Neft Akademiyası 
"," 28 May m.
"," Səməd Vurğun parkı 
"," Pedaqoji Universiteti 
"," Bakı Musiqi Akademiyası 
"," Milli Konservatoriya 
"," Nəsimi r.
",,,
1973814,2021-03-19,Yeni tikili,14 / 18,135 m²,3,var,235 000AZN,vasitəçi (agent),Baki seheri Nerimanov rayonu Ayna Sultanova parkina yaxin yeni tikili 18 mertebeli binanin 14 cu mertebesinde yeni temirli menzil satilir,27,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,,,,,
