id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1248874,2021-03-17,Yeni tikili,4 / 16,140 m²,3,var,235 000AZN,vasitəçi (agent),"Genclik metrosuna yaxin , Ankara litseyinin yaninda 3 otaq qazli, cixarisli, orta temirli menzil satilir.
Yer parketdir.
Kombi istilik sistemi var. 
Binanin yeralti qaraji var.
Heyete masin buraxilmir.
Yer el isi olub mozaik parketdir.
Kuoca eldedir, menzil.bosdur.",1378,"Azərbaycan turizm institutu 
"," Təhsil Nazirliyi 
"," Gənclik m.
"," Nərimanov r.
",,,,,,
1969689,2021-03-17,Yeni tikili,4 / 17,162 m²,3,var,590 000AZN,vasitəçi (agent),"Yasamal rayonu, Elmlər Akademiyasının yanında, AzərTürk Bankın üstündə ""Caspian Servis"" MMC yaşayış kompleksində  3 otaqlı 162 kv.m sahəli əla təmirli mənzil satılır. 17 mərtəbəli yeni tikili binanın 4-cü mərtəbəsində yerləşir. Xüsusi dizayner tərəfindən dizayn edilən mənzil təmirində ən keyfiyyətli materiallardan istifadə olunmuşdur. “Classi” firmasının mebelləri, qardirob otağı, çamaşırxana, 3 sanuzel qovşağı və bir çox bahalı avadanlıqlarla təmin olunub. Mərkəzi istilik sistemi var. Şəhərə gözəl panaroması var, çox əlverişli yerdə yerləşir. Binanın 7/24 mühafizə olunan həyəti, yeraltı qarajı, həyətdə park yeri, 2 Sigma brend sürətli lift, uşaq meydançası var. Qaz, su və işıq damidir. Mənzil kupçalıdır. Elmlər metrosu, Hüseyn Cavid Parkının yanı, bu zonanın ən prestijli yerində yerləşir. Real alıcıya endirim olacaqdır. ",25,"Hüseyn Cavid parkı 
"," Texniki Universiteti 
"," Sovetski 
"," Nərimanov heykəli 
"," Elmlər Akademiyası m.
"," Yasamal r.
"," Yasamal q.
",,,
1969687,2021-03-17,Yeni tikili,17 / 19,85 m²,2,var,105 000AZN,vasitəçi (agent),Ehmedli m/s yaxinliqinda yerlesen Saiq MTK-ya mexsus olan yeni tikili 19 mertebeli binanin 17-ci mertebesinde teze temirden cixmis temiz 2 otaqli menzil satilir menzilde temirden sonra yasayis olmuyub istilik sistemi kombi iledir qaz su isiq daimidir senedler cixaris (kupca) iledir İPATEKAYA yarayir menzilden denize ve sehere gozel menzere var binanin 2 suretli lifti 24 saat muhafizesi yeralti ve yerustu parkinq erazisi usaqlar ve boyukler ucun istirahet erazisi movcuddur binanin etrafinda her bir infrastruktur var bir nece mekteb ve bagcalar coxlu sayda marketler metroya ayaqla 10 deqiqelik mesafe real aliciya endirim olacaq ofis haqqi 1%,5,"Neapol dairəsi 
"," Xətai r.
",,,,,,,,
1969684,2021-03-17,Yeni tikili,8 / 19,170 m²,3,var,430 000AZN,vasitəçi (agent),"NIZAMI MT YAXINLIGINDA QAZLI KUPCALI NAVASTROYKADA MENZIL SATILIR.

Nizami Metrosu yaxinliginda yerlesen yeni tikili 19 mertebeli binanin 8-ci mertebesinde 170 kv, 4 otaqli, super temirli menzil satilir!! menzilde kesintisiz qaz, su, isiq, seyf qapi mevcuddur. bina daim islek veziyyetde lift, heyetyani sahede parking zone la temin olunup ve mekteb, market, usaq bagcasi, gozellik salonu, fitness merkezi, idman kompleksi, restoran ve kafeler, eczaxana, xestexana, merkezi yolun yaxnliginda-elverisli yerde yerlesir!!

REAL MUSTERIYE EVE BAXILANDAN SONRA ENDIRIM OLUNACAQ",27,"Nizami m.
"," Beşmərtəbə 
"," Yasamal r.
",,,,,,,
1969683,2021-03-17,Yeni tikili,3 / 12,150 m²,4,yoxdur,224 000AZN,vasitəçi (agent),"Nesimi rayonu, 4-cu Mikrorayonda 12/3 147kv 3 den 4 otaga gozel peredelka edilmis menzil satilir.Menzilin butun otaqlarinin penceresi var.(1ci isiq) Menzilin temiri realda daha da gozeldir. Butun istifade olunan matreallar keyfiyyetlidir. 2 sanuzel Istipol, bahali parket.Bir sozne ideal temirdir. Binada qaz, su, isiq daimidir. Yaxin zamanda bina kupca ile temin olunacaq. Yaxinligda mekteb,baxca ve market ve s. var.
Sirket haqqi-1 %",7,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
1969682,2021-03-17,Köhnə tikili,1 / 9,60 m²,2,var,92 000AZN,vasitəçi (agent),"Təcili Satılır....İpotekaya yararlıdır!!!Qiymətində 3000Azn endirim olunub!!!Nəsimi rayonu 8 noyabr metrosunun yaxınlığında yerləşən 9 mərtəbəli tikilinin 1 ci mərtəbəsində yerləşən ümümi sahəsi 45kv orta təmirli mənzil satılır(Kiyev proyekti ).Orta mənzildi künc deyil.Mənzil əşyalarnan bir yerdə satılır.İnfrastruktur cəhətdən əlverişli yerdədir.Mərkəzi istilik sistemi ilə təchiz olunub.Su işiq qaz daimidir. 
Real alıcıya endirim olunacağ. 
Ofis haqqı 1.% 
Срочно Продается .... Подходит под ипотеку !!!Скидка 3000Азн. Насиминский р-н, находится на 1 этаже 9-ти этажного дома возле метро 8 Ноябрь Продается квартира со среднем ремонтом (проект Киев) площадью 45 кв.м. Средняя квартира не угловая, расположена в удобном месте, имеет центральное отопление, вода, свет и газ постоянно. 
Для реальных покупателей будет скидка. 
Офисный сбор 1.%",21,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,,,,,
1969681,2021-03-17,Köhnə tikili,3 / 6,65 m²,3,var,127 000AZN,vasitəçi (agent),"KUPCA VAR ! ! ! 

IPOTEKAYA YARARLIDIR ! ! ! 

TECILI SATILIR ! ! ! 28 MAY METROSUNUN CIXISINDA Semed Vurgun Baginin, Yellow bankin  yaninda , eksprimental layiheli binada menzil satilir. Menzil qanuni 2 otaqdir ama 3 otaga duzelib.. Binada qaz,su,isiq daimidir. Binanin etrafinda kafe,restoran, supermarketler, movcuddur. Sheherin istenilen yerine avtobus ishleyir. Kupca eldedir, bu qiymete bu erazide menzil tapmaq cetindir ! ! ! Real aliciya endirim olunacaq ! !! 

Ofis haqqi - 1 % ",7,"Səməd Vurğun parkı 
"," 28 May m.
"," Neft Akademiyası 
"," Nəsimi r.
",,,,,,
1969680,2021-03-17,Köhnə tikili,5 / 9,80 m²,3,var,118 000AZN,vasitəçi (agent),Bineqedi rayonu 9 cu mikrorayon qesebesinde yerlsen 9 mertebeli tikilinin 5 ci mertebesinde umumi sahesi 80 kv olan 3 otaqli temirli menzil satilir...MEnzil yasayis ucun ideal formadadir...MEnzil esyalarla birlikde satilir...Qaz su isiq daimidir...IStilik sistemi var...Tikilinin yerlesdiyi erazide yasayis ucun zeruri olan butun infrastruktur obyektleri fealiyyet gosterir...Elave melumat ucun zeng ede bilersiz...Shirketin xidmet haqqi 1%,28,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
1969675,2021-03-17,Yeni tikili,12 / 19,90 m²,2,yoxdur,107 000AZN,vasitəçi (agent),SATILIR!!! Yeni Yasamalda Bazarstodun arxasinda yeni tikili 19mertebeli binanin 12ci mertebesinde ela temirli 2otaqli menzil SATILIR!!! menzil yeni temir olunub temirden sora yasayis olmuyub qaz su isiq daimidir istilik sistemi kombidir binanin etrafinda butun iase obyektler movcutdur elave suallar ucun zengler ve whatsapp aktivdir,8,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
1969678,2021-03-17,Köhnə tikili,2 / 3,120 m²,3,var,286 500AZN,vasitəçi (agent)," TECILI..TECILI Sheherin merkezinde ,arxitektur binada temiz 3 otaqli menzil satilir.Menzilin kosmetik mtemire ehtiyaci var.balkonu esas kuceye baxir.Menzil eshyalariyla birlikde satilir.Artiq yazmaq istemirem.Alici onsuzda gelib baxacaq.Baxdiqdan sonra evin icinde komprimise gelmek olar.",30,"Milli Konservatoriya 
"," Nizami kinoteatrı 
"," Malokan bağı 
"," Bakı Musiqi Akademiyası 
"," Sahil bağı 
"," Pedaqoji Universiteti 
"," Neft Akademiyası 
"," Sahil m.
"," 28 May m.
"," Nəsimi r.
"
