id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
1866003,2021-01-19,Yeni tikili,11 / 12,126 m²,3,var,160 000AZN,vasitəçi (agent),Yeni Yasamalin en gozel yerinde genis erazisi olan 3 otaqli temirli menzil satilir.Qaz su isiq daimi tam yasayisli bina genis otaqlar.Kupcali menzil .Ofisin xidmet haqqi1%,23,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,
1866001,2021-01-19,Yeni tikili,7 / 21,141 m²,3,var,450 000AZN,vasitəçi (agent),"Satılır en prestijli binalardan biri olan  Park Azur yaşayış kompleksinde  141 kv 
3 otaq  21/7 mertebesi  icinde hebir şeraiti olan super temirli  ev satılır Binanın  24 saat-mühafize xidmeti 4 mertebeli yeraltı qarajı 
Binanin 1 ci mertebesinde Bravo market 
heyetinde fitnesi ve uşaq baxcası var elave melumat ucun bizimle elaqe saxlaya bilersiz.",23,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1866000,2021-01-19,Yeni tikili,16 / 18,205 m²,4,var,225 500AZN,vasitəçi (agent),Nerimanovda E. Eliyev kucesinde Kesle bazarina yaxin insa edilmis Nerimanov Palaz yasayis kompleksinde    4 otaqli umumi sahesi teqriben 205 kv m olan pad mayaq menzil satilir . Menzil 18 mertebeli binanin 16 ci mertebesinde yerlesir  Binada qaz su isiq Ve cixaris (Kupca )  var   etrafli melumat ucun zeng edin,14,"Nərimanov r.
",,,,,,,
1865999,2021-01-19,Yeni tikili,6 / 16,173 m²,4,var,216 250AZN,vasitəçi (agent),"TECILI SATILIR !!! Xetai metrosunun yaninda yeni tikilmis 16 mertebeli binanin 6-ci mertebesinde 4 otaqli temirsiz (podmayak) menzil satilir . Bina tam yasayisli ve QAZLI+KUPCALi-dir . Usaq meydancasi , yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Etrafli melumat ucun elaqe saxlaya bilersiniz .",23,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1865997,2021-01-19,Köhnə tikili,3 / 9,80 m²,3,var,115 000AZN,vasitəçi (agent),"Əcəmi m yaxınlığı, 4 mkr kuruqu, Z,Əliyeva göz klinikasına çatmamış, müəllimlər binasında, Leninqrad layihəli daş binada 3 otaq 3/9 80 kv orta təmirli mənzil. qaz kupça var. ipotekaya da yararlıdır. start qiymət 115000 azn
5002",22,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,
1865996,2021-01-19,Yeni tikili,19 / 19,174 m²,4,var,279 000AZN,vasitəçi (agent),"TECILI SATILIR !!! Ali mehkemenin yaninda yeni tikilmis (ALYANS MTK-da) 19 mertebeli binanin 19-cu mertebesinde 4 otaqli temirsiz (podmayak) menzil satilir . Bina tam yasayisli ve QAZLI+KUPCALI-dir . Genis usaq meydancasi , yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Menzil muqavileyle satilir . Etrafli melumat ucun elaqe saxlaya bilersiniz .",15,"Şah İsmayıl Xətai m.
"," Cavanşir körpüsü 
"," Xətai r.
",,,,,
1865995,2021-01-19,Yeni tikili,19 / 19,59 m²,2,yoxdur,65 000AZN,vasitəçi (agent),Yeni Yasamalda Serur mtkaya mexsus binada mansard tipli 1 otaqdan 2 otağa düzəlmə 59kvm mənzil satılır.Qazı susyu işığı daimidirTəmirdən sonra yaşayış olmayıb.Kombi sistemi çəkilib,24,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,
1865994,2021-01-19,Yeni tikili,6 / 16,65 m²,2,yoxdur,105 000AZN,vasitəçi (agent),"
28 may metrosu Təbriz küçəsi Şuşa restoranına yaxın 16 mərtəbəli binanın 6 ci mərtəbəsində 1 dən 2 düzəlmə 65 kv sahəsi olan təmirli mənzil satılır 
Binada qaz var 
Əlavə məlumat üçün əlaqə saxlayın",37,"Təhsil Nazirliyi 
"," Nəsimi r.
",,,,,,
1865992,2021-01-19,Köhnə tikili,2 / 5,50 m²,2,var,82 000AZN,vasitəçi (agent),"Nerimanov rayonu, Kooperasiya Universiteti, AKB insaatin yaxinliginda EKSPERİMENTAL (hundurluk-2.6 m) proektli das binanin 2ci mertebesinde radnoy 2 otaqli, 50 kvm sahesi, daimi suyu, qazi, isigi, merkezi istilik sistemi olan menzil satilir. Menzil ORTA BLOKDA yerlesir, ESYALARIN EKSERIYYETI qalacaq. Binanin yerlesdiyi erazi inkisaf etmis infrastruktura malikdir, mekteb, bagca, marketlere yaxin yerlesir.
Elave melumat almaq ve satisda olan diger menziller ucun elaqe saxlaya bilersiniz.
Sened- Kupca.
Ipotekaya yararlidir",24,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,,,
1864221,2021-01-19,Yeni tikili,11 / 16,137 m²,3,var,235 000AZN,vasitəçi (agent),"TECILI SATILIR !!! Xetai metrosunun yaninda yeni tikilmis 16 mertebeli binanin 11-ci mertebesinde 3 otaqli ela temirli menzil satilir . Bina yasayisli ve QAZLI+KUPCALI-dir . Genis usaq meydancasi , yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Etrafli melumat ucun elaqe saxlaya bilersiniz .",23,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1862540,2021-01-19,Yeni tikili,12 / 19,66 m²,2,var,90 000AZN,vasitəçi (agent),"Təcili olaraq satılır!!!!

Yeni Yasamalda Serur mtkaya mexsus binada 1 otaqdan 2 otağa düzəlmə 66kvm mənzil satılır.Qazı suyu işığı daimidir.Binanın kameralarla nezaret sistemi var.2 mertebeli yeraltı dayanacağı var",11,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,
1865989,2021-01-19,Yeni tikili,2 / 9,52 m²,2,var,85 000AZN,vasitəçi (agent),"TECILI SATILIR 
Elave melumat ucun elaqe saxlaya bilersiniz",44,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,
1865986,2021-01-19,Yeni tikili,6 / 18,200 m²,4,var,470 000AZN,vasitəçi (agent),"Nizami metrosunun cixisinda 18 mertebeli elit yasayis binasinin 6-ci mertebesinde umumi sahesi 200 kvm olan 4 otaqli super temirli menzil satilir.Yelceken menzildir.Binanin qazi,kupcasi,yeralti avtodayanacagi ve 24 saatliq muhafize xidmeti var.Menzilin senedi muqaviledir.",20,"Nizami m.
"," Beşmərtəbə 
"," Yasamal r.
",,,,,
1862735,2021-01-19,Yeni tikili,9 / 16,170 m²,4,var,240 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR !!! Xetai metrosunun yanında yeni tikilmiş 16 mertebeli binanın 9-cu mertebesinde 4 otaqli təmirsiz (podmayak) mənzil satılır . Bina tam yaşayışlı ve QAZLI+KUPÇALI-dır . Geniş uşaq meydançası , yeraltı və yerüstü avto dayanacağı , 24 saat mühafizə xidməti var . Ətraflı məlumat üçün əlaqə saxlaya bilərsiniz .",17,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1865985,2021-01-19,Köhnə tikili,5 / 10,85 m²,3,var,180 000AZN,vasitəçi (agent),"Genclik met. yaxin Feteli xan Xoyski ve Koroglu Rehimov kuc. kəsişməsinde Genclik MALL, İdman Akademiyasi, Kontinental market ve Genclik şadliq evinin yaninda 10 merbeli DAŞ EKSPERİMENTAL lahiyeli binanin 5-ci mertebesinde 3 otaqli, umumi sahesi 85kv. olan EVRO temirli menzil satilir. Menzilin istiliy sistemi KOMBİDİ. Menzil yelcekendi (skvaznoydu). Sanitar qovşaqda (duş kabin ve maydadir var). Real aliciya qiymetde endirim olunacaq.",26,"Gənclik m.
"," Respublika stadionu 
"," Azərbaycan turizm institutu 
"," Nərimanov r.
",,,,
