id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1813919,2020-12-13,Yeni tikili,3 / 5,90 m²,2,var,150 000AZN,mülkiyyətçi,Ev Zerife eliyeva adina goz xestexanasinin yaninda yerlesir. Bina bir bloklu 5 mertebeden yeni tikili binadir. Kupca var su isig qaz daimidir. ,43,"Tibb Universiteti 
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,,
1796411,2020-12-13,Köhnə tikili,9 / 9,45 m²,1,var,60 000AZN,vasitəçi (agent),"TƏCİLİ!!!
DÜŞMƏ MƏNZİL!
QİYMƏT SONDU!
Qara Qarayevdə, “Ruslan 93” marketin yanında, 9 mərtəbəli leninqrad layihəli binanın, 9-cu mərtəbəsində, 3 otaqlı (1 otaqdan, 3 otağa düzəldilmiş) mənzil satılır.
Qaz, su, işıq daimidir.
İstilik sistemi mərkəzidir.
Məhəlləsi yeni abadlaşdırılıb.
Sənəd çıxarış(kupça).",88,"Koroğlu m.
"," Nizami r.
",,,,,,,,,
1813913,2020-12-13,Yeni tikili,7 / 17,136 m²,3,yoxdur,108 800AZN,mülkiyyətçi,qaz var. hazir yashayishli bina.mart ayinda cixarish veriləcək.,941,"Nəsimi r.
",,,,,,,,,,
1813912,2020-12-13,Yeni tikili,10 / 17,54 m²,1,yoxdur,56 000AZN,vasitəçi (agent),"Binanın Satış Ofisindən Daha Ucuz Qiymətə Mənzil Satılrı!!! Bakı şəh., Səbail r., Badamdar qəsəbəsinə, Pullman otelin yaxınlıqında Şərq F mtk tərəfindən inşa edilmiş 17 mərtəbəli Yeni tikili 10cu mərtəbəsində yerləşən, ümumi sahəsi 54kv.m olan 1 otaqlı podmayak(təmirsiz) mənzil təcili olaraq dəyərindən ucuz qiymətə satılır!!! Mənzil rahatlıqla 2 otaqa düzəliş edilə bilir. Qaz, su və işıq daimidir, Binada yaşayış mövcüddur, Kupça yaxın vaxtda veriləcəkdir. Ətraflı məlumat üçün qeyd olunan nömrələr ilə əlaqə saxlaya bilərsiniz!!!",99,"Botanika bağı 
"," Səbail r.
"," Badamdar q.
",,,,,,,,
1813510,2020-12-13,Köhnə tikili,3 / 9,80 m²,3,var,111 000AZN,vasitəçi (agent),"Bakıxonov da leninqrad 9 mertebe binada 3 mertebe de su işiq qaz istilik daimi, yol kenari mega palaz ile üzbeüz. Etrafli zeng edin ",87,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,,
1813906,2020-12-13,Köhnə tikili,2 / 9,50 m²,2,var,72 000AZN,vasitəçi (agent),"H.Aslanov metrosundan 3-4 dəqiqəlik məsafədə yerləşən binada 2 otaqlı mənzil satılır. Mənzil yaxşı təmir olunub. Hər bir şərait var, qaz, su, işıq daimidir. İstilik sistemi kombidir. Qiymətə əşyalar da daxildir. Binanın yanında məktəb, marketlər, avtobus dayanacağı və s var. Sənədlər qaydasındadır, çıxarış (Kupça) var.",112,"Həzi Aslanov m.
"," Xətai r.
",,,,,,,,,
1813904,2020-12-13,Köhnə tikili,3 / 5,37 m²,1,var,55 000AZN,vasitəçi (agent),"Təcili!!!
Memar Əcəmidə, Euromedin yanında, 5 mərtəbəli fransız layihəli binanın, 3-cü mərtəbəsində, 2 otaqlı (1 otaqdan, 2 otağa düzəldilmiş) mənzil satılır.
Mərkəzi istilik sistemi var.
Qaz, su, işıq fasizləsizdir.
Metroya piyada 2-3 dəqiqə məsafədədir.
Kirayə 350-400 azn-ə asanlıqla vermək mümkündür.
Sənəd çıxarış(kupça).",81,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,,
1813903,2020-12-13,Yeni tikili,8 / 14,164 m²,3,var,309 000AZN,mülkiyyətçi,"Nərimanov r-nu, F.Yusifov küçəsində,DOSTLUQ MTKnin Müasir və milli
memarlıq üslubunda insa etdiyi PILOT LAHIYELI
14 mərtəbəli yaşayış binasıin 8ci mərtəbəsində 3 otaqlı 164kv PODMAYAK
menzil.
QAZ və KUPCA VAR.
Bina hazirdir, yaşayış var,təmirə başlamaq olar(Təmir zamanı bütün tikinti materialların mənzilə daşınması və təmir tullantılarının endirilməsi kompleksin işçiləri tərəfindən həyata keçirilir PULSUZ).
      Binada Sizin təhlükəzsizliyiniz və rahatlığınız üçün hər cür
şərait yaradılmisdir
• Ağlay fasad, Mərmər blok, Türk seyf qapıları, Alman
istehsalı olan 2 surətli lift,Alman istehsalı olan 3
qat şüşəli pencərələr.
• 2 mərtəbəli yeraltı parking
• Ticarət infrastrukturu
• Generator sistemi
• Domofon sistemi
• Rəqəmsal telefon rabitəsi
• Surətli İnternet
• Kabel və peyk telekanalları
• Yanğın əleyhinə sistem
• 24 saat təmizlik xidməti.
Binada butun menzllerin balkonlari sirket terefinden
tam temir olunub..binanin su xettine 25000 azn
su filtiri qoyulmusdur. gorduyunuz sekiller binanin
sekilleridir.Binani Nerimanov metrosu
yaxinliginda yasayan her kes taniyir.binanin fasadi
bloku liftleri ve qarajin sekilleri yerlesdirilmisdir.
Nerimanov rayonunda ve Baki seherinde bu cur keyfiyyetli bina yoxdur.",1435,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,,
1813897,2020-12-13,Yeni tikili,13 / 18,126 m²,3,yoxdur,113 400AZN,mülkiyyətçi,hazır yaşayışlı bina.qaz var. təcili satılır.vasitəcilər real müştəri varsa gətirin.zəng vurub soruşmayin.ucuz avtomobil+pul barter ederem.,308,"Bakı Dövlət Universiteti 
"," Elmlər Akademiyası m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
1813893,2020-12-13,Yeni tikili,4 / 18,120 m²,3,yoxdur,162 000AZN,vasitəçi (agent),Nerimanov rayonu HEYDER Eliyev prospektinde metroya 5 deqiqe mesafede 18 mertebeli binanin 4 cu mertebesinde 3 otaqli menzil satilir qazi suyu isqi daimi genis heyeti binanin altinda ARAZ super market var teze liftler yeralti qaraji var elave zeng edin,136,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,,
