id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1832781,2020-12-27,Köhnə tikili,5 / 5,32 m²,1,var,515 000AZN,vasitəçi (agent),"Yasamal rayonu,m.inşaatçılar,Topçubaşov klinik.və""Şahdağ""ın yanı,5 mərtəbəli binanın 5-ci mərtəbəsində,1-otaqlı,orta təmirli mənzil.Mənzil əşyalarla birlikdə satılır.Sənəd ""ÇIXARIŞ (KUPÇA).Mənzilin satış qiyməti 51500 AZN.",4,"İnşaatçılar m.
"," Yasamal r.
"," Yasamal q.
",,,
1832779,2020-12-27,Yeni tikili,5 / 16,109 m²,3,var,165 000AZN,vasitəçi (agent),"Hollivudun binasi. Full təmir. Kupça.  
",69,"Səbail r.
"," Badamdar q.
",,,,
1262173,2020-12-27,Yeni tikili,2 / 16,60 m²,2,var,105 000AZN,vasitəçi (agent),"SƏMƏD VURĞUN kücəsində 
və Həsən  Əliyev küçəsinın kəsişməsində (Keçmiş İNQLAB)
 ""NƏRGİZ""Klinikasının yanında.  Yeni tikili. 
 “PREMİUM RESİDENCE” kompleksində.
 QAZ  var, sənəd- KUPÇA (Çıxarış).  
 1 otaqdan 2 otaqa çevrilmiş SUPER TƏMİRLİ mənzil satılır. 
16 mərtəbəli binanın 2-ci mərtəbəsi  yerləşən.
Ümumi sahə 60 kv.m.  Mənzil çox yüksək səviyyədə Təmir olunub və təmirdə bahalı aksesuarlardan istifadə olunub. Təmirdən sonra yaşayış olmayıb.
 Sanitar qovşağı bahalı keyfiyyətli avadanlıqlar və santexnika ilə təchiz edilib. Duş kabina. İstilik sistemi kombidir. 
İki sürətli liftlər, 2 ədət dayanacaqı var yeralt ıvə  qonaq üçün, təhlükəsizlik xidməti,müşahidə kameraları, 
uşaq meydançası, istirahət sahəsi, uşaq bağçası, idman zalı. Ehtiyat generator, 
Bina yaxşı yerdə yerləşir, rayonun inkişaf etmiş infrastrukturu var, 
lazım olan bütün obyeklər bir addımlıq məsafəsindədir.
----------------------------------
На пересечении и улицы САМЕД ВУРГУНА и проспекта 
 Гасан Алиева (бывшая INQLAB)
Новостройка,  комплекс “PREMİUM RESİDENCE”.
Здание, Газифицированное с Купчей. 
На продаже 2- х комнатная квартира
(перепланировка из  1 -но  в 2-х комнатную. Квартира с отличным ремонтом. После ремонта ни кто не жил. 
Общая  площадь квартиры 60 кв.м.,2  этаж 16 этажного здания.
 Санузел с качественной сантехникой и  аксессуарами.  Душ кабина.
Система Комби.
Два скоростных лифта, подземный и  гостевой паркинг, закрытая территория, охранная служба с камерами видео наблюдения, детская площадка, зона отдыха, детский сад, спортзал. Имеется  запасной генератор.
Район с развитой инфраструктурой. 
 Рядом, парк, автобусная остановка, школы, дет,сады, супермаркеты,
разные магазины.
",9,"Tibb Universiteti 
"," Nəsimi r.
",,,,
1375005,2020-12-27,Yeni tikili,4 / 8,165 m²,5,var,430 000AZN,vasitəçi (agent),"Nərimanov ray. Ağa Neymətulla küç. Saatın yanında 5-4 düzəlmə otaq. Super təmir.Yeni əşyaları ilə satılır. İki mənzili birləşdirib,2 kupçası var. İlkin qiymətdi",75,"Nəriman Nərimanov parkı 
"," Rəssamlıq Akademiyası 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,
1832776,2020-12-27,Yeni tikili,10 / 17,166 m²,4,var,990 000AZN,vasitəçi (agent),"В самом центре города с великолепной панорамой на бакинскую бухту. Элитная новостройка, находиться прямо на против бульвара состоящая из 4-х комнат. Высокий 10-й этаж даст вам возможность любоваться видом на море, бульвар и вес город. Хороший ремот, 3 санузла,большие просторные комнаты, огромный зал, создают уют и комфорт проживания в етой квартире. Общая площадь 166 кв, паркинг, дорогие лифты, хорошая инфраструктура и обслуживание. А так же имеется газ и купчая. Строго без посредников и фирм.",1701,"Pedaqoji Universiteti 
"," Sahil bağı 
"," Malokan bağı 
"," Sahil m.
"," Azadlıq meydanı 
"," Səbail r.
"
1832774,2020-12-27,Yeni tikili,6 / 17,70 m²,2,yoxdur,80 000AZN,vasitəçi (agent),"Simpatiya bina
Albalı bağça yanı
Qaz
Kupca 
17/6 mertebe
70 kv 
80000 Azn
əşyal
Sened Muqavile
Kupca ucun senedler hazirdi",56,"Yasamal r.
"," Yeni Yasamal q.
",,,,
1832773,2020-12-27,Yeni tikili,6 / 16,165 m²,4,var,850 000AZN,vasitəçi (agent),"В самом центре города с великолепной панорамой на бакинскую бухту. Элитная новостройка, находиться прямо на против бульвара состоящая из 4-х комнат. Высокий 
6-ой этаж даст вам возможность любоваться видом на море, бульвар и вес город. Хороший ремот, 3 санузла,большие просторные комнаты, огромный зал, создают уют и комфорт проживания в етой квартире. Общая площадь 165 кв, паркинг, дорогие лифты, хорошая инфраструктура. Есть газ и купчая, дорогое обслуживание. Строго без посредников и фирм.",1179,"Azadlıq meydanı 
"," Səməd Vurğun parkı 
"," Port Baku 
"," Səbail r.
",,
1832769,2020-12-27,Yeni tikili,6 / 9,41 m²,2,var,48 000AZN,vasitəçi (agent),"Abseron rayonu Xirdalan seheri Kristal - 1 MTK-da yerlesen 9/6 mertebesinde umumi sahesi 41 kv/m olan 2 otaqli menzil Satilir. Menzil temirli ve esyalidir.Qaz, isiq,su daimidir.istilik sistemi kombi. 24 saat muhafize ve Lift xidmeti ,Yer alti ve yer usutu avtopark movcuddur. SENED KUPCA...Esyali ve esyasiz Satila biler. QIYMETI RAZLASMA YOLU ILE.",37,"Abşeron r.
",,,,,
1832768,2020-12-27,Yeni tikili,2 / 14,180 m²,4,var,470 000AZN,vasitəçi (agent),"Şəhərin mərkəzində, Nəsimi rayonunda, Zabitlər parkının tam yanında  geniş və işıqlı 4 otaqlı mənzil satilir.  SUPER TƏMİRLİ. 2/14.  Ümumi sahəsi  180 kv.m. İki sanitar qovşaq var. Kupça var. ",6,"Sirk 
"," Azərbaycan Dillər Universiteti 
"," Zabitlər parkı 
"," Bakı Slavyan Universiteti 
"," Nəsimi r.
",
1832767,2020-12-27,Yeni tikili,3 / 12,130 m²,3,var,138 000AZN,vasitəçi (agent),Yeni Yasamalda Beyaz markete yaxin erazide skvaznoy temiz 3 otaqli menzil satilir.Kupcali menzil qaz su isiq daimi tam yasayisli bina.Xidmet haqqi1%,585,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,
