id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1862257,2021-01-17,Yeni tikili,13 / 20,80 m²,2,var,80 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR.2 otaqlı 80 kv.m.mənzilin çox gözəl lahiyəsi var.Xətai Park Piremum klass yüksək səviyyəli tikinti şirkəti tərəfindən inşaa edilib.Bina tamm hazırdı,suyu,qazı, işığı daimidir.Binanin çox geniş həyəti, 5 mərtəbəli yerüstü parkinki 3 ədəd sürətli lifti var.Binada 24 saat mühafizə xidməti, böyük supermarket (Bravo), fitnes mərkəzi, uşaq bağçası, restoran və müxtəlif xidmət sahələri fəaliyyət göstərəcək.mənzil təcili satıldığı üçün real qiymətdən aşağı verilir.",19,"Xətai r.
",,,,,,,,,,
1862256,2021-01-17,Yeni tikili,2 / 18,69 m²,1,var,85 000AZN,vasitəçi (agent),"QAZ VE KUPCA VAR  
Nəsimi rayonunda , Tbilisi pr  Qafqaz otelinin arxasinda yerləşən  
18 mertebeli Yeni tikili  binanin 2 mertebesinde 2 OTAQLI temirsiz mənzil satılir. 
1 qonaq otaqi  1 genish metbex 1 sanitar qovshaqi movcuddur.
Ümumi sahəsi 69 kv.m. 
QAZ ,SU, ISHIQ DAİMİDİR. 
Binada sürətli lift, 24 saat nəzarətdə olan bina, uşaq meydançasi , parking.

OFIS XIDMET HAQQI 1 % TESHKIL EDIR",63,"Gənclik m.
"," Respublika stadionu 
"," Nəsimi r.
",,,,,,,,
1862254,2021-01-17,Köhnə tikili,6 / 10,75 m²,2,var,34 000AZN,vasitəçi (agent),"",28,"Azərbaycan turizm institutu 
"," Respublika stadionu 
"," Gənclik m.
"," Nərimanov r.
",,,,,,,
1862250,2021-01-17,Köhnə tikili,3 / 5,74 m²,3,var,123 000AZN,mülkiyyətçi,Nərimanov rayonu Ağa Neymətulla küçəsində Akordun Ofisinin yanında 2 otaqdan artırma ilə 3 otağa düzəldilmiş sahəsi 74 kv olan əla təmirli mənzil satılır.,55,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,,
1862249,2021-01-17,Yeni tikili,3 / 15,140 m²,3,var,350 000AZN,vasitəçi (agent),"Поблизости метро Элмляр, над магазином Фаворит продается 3 -х комнатная квартира. 
Отличный ремонт.
Просторные и светлые комнаты.
Общая площадь 140 кв.м.
Этаж 3/15
Здание расположено на территории с развитой инфраструктурой.
Отличная транспортная развязка. 
Для подробной информации звоните на указанный номер. 

Для большего выбора квартир inst: @nedvijimost.az ",12,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
",,,,,,,,
1862247,2021-01-17,Köhnə tikili,5 / 9,55 m²,2,var,83 000AZN,vasitəçi (agent),"DƏYƏRİNDƏN  QAT-QAT  UCUZ QİYMƏTƏ SATILIR !!!
EKSKLYUZİV TƏKLİF!!!

AZADLIQ PROSPEKTİ, QOŞA ZAPRAVKA -nın yanında, LENİNGRAD layihəli üzlüklü binada 
QANUNİ 2 otaqlı mənzil satılır.
Mərtəbəsi 9/5.
Ümumi sahəsi  55 kv.m.
Təmiz, səligəli və normal təmirli mənzildir.
OTAQLAR AYRI-AYRIDIR.
2 eyvanı var (7 m. və 4 m.).
Eyvanların biri AZADLIQ PROSPEKTİNƏ BAXIR.
Sanitar qovşağı ayrı-ayrıdır.
İPOTEKAYA YARARLIDIR.
Mənzilin sənədləri qaydasındadır, Çıxarışı (Kupça) var.
Yerləşdiyi ərazi inkişaf etmiş infrastruktura malikdir - yaxınlıqda məktıb, uşaq bağçası, market, avtobus dayanacağı var.

***
НАМНОГО НИЖЕ РЫНОЧНОЙ ЦЕНЫ !!!  
ОЧЕНЬ СРОЧНО !!!
ЭКСКЛЮЗИВНОЕ ПРЕДЛОЖЕНИЕ.

По ПРОСПЕКТУ АЗАДЛЫГ, около ""QOŞA ZAPRAVKA"". В Облицованном доме ЛЕНИНГРАДСКОГО ПРОЕКТА продается РОДНАЯ 2х комнатная квартира с ремонтом.
Обшая площадь 55 кв.м. 
9/5 этаж. 
Удобная планировка. 
КОМНАТЫ и САНУЗЕЛ РАЗДЕЛЬНЫЕ.
2 балкона - длиной 7 м. и 4 м., ОДИН ИЗ БАЛКОНОВ С ВИДОМ НА ПРОСПЕКТ.
Район с развитой инфраструктурой, рядом школа, детский садик, магащины, маркнт и т.д.
Документы в порядке, имеется КУПЧАЯ.
ВОЗМОЖНА ПРОДАЖА ПО ИПОТЕКЕ.
",69,"Azadlıq Prospekti m.
"," Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,,
1862248,2021-01-17,Yeni tikili,18 / 19,141 m²,4,var,233 000AZN,vasitəçi (agent),"✔ Yasamal rayonu, H.B.Zərdabi küçəsində, Topcubaşov adına Eksperimental xəstəxananin yani
✔ TAM YAŞAYIŞLI, QAZLI, KUPÇALI yeni tikilidə yeni təmirdən çıxmış
✔ müasir zövqlə təmir olunmuş
✔ QANUNİ 4 otaqlı mənzilin satışi.
✔ Temirden sonra yasayis olmayib,
✔ Şexsi istifade ucun temir olunub.
✔ Bezi ewyalar saxlanila biler
✔ Geniş, hündür tavanlı otaqlar, döşəmə parket, işıqlı mətbəxi, bahalı quraşdırılmış mətbəx mebeli, qapılar, aksessuarlar, Her otaqda kondisaner var, daimi qazı, işığı, suyu, kombi istilik sistemi, səssiz, sürətli SİGMA liftləri, GENİŞ HƏYƏTİ, mərmər bloklar, 3 mərtəbəli yeraltı qarajı, uşaq meydançası, parkinqi, 24 saat mühafizə xidmət
✔ Elave Melumat ucun zeng ede bilersiniz",12,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,,
1862244,2021-01-17,Yeni tikili,3 / 18,206 m²,4,var,290 000AZN,vasitəçi (agent),"TECILI   SATILIR.....Nesimi  rayonunda  Tibb  Universitetine, Koroglu, Koala  parklarina  yaxin yerde  4 otaqli temirsiz  menzil. Menzilin  ela proyekti var,zali boyukdur,yataq  otaqlari  geniwdir.Binada  boyuk  heyet,yeralti qaraj, 24 saat muhafize xidmeti var,qaz-kupca ,merkezi istilik verilib. Bina  orta mektebe,bagcaya,supermarketlere  yaxindir.Endirim olacaq.",794,"Nəsimi bazarı 
"," Park Zorge 
"," Koala parkı 
"," Nəsimi r.
",,,,,,,
1844448,2021-01-17,Köhnə tikili,5 / 5,62 m²,3,var,86 000AZN,mülkiyyətçi,"Əlavə 2 balkonu var.Qaz və işiq daimidir,istilik sistemi var.Bütün sənədlər (KUPÇA ÇIXARIŞ) yerindədir.Qara Qarayev metrosuna 1 dəqiqəlik yol (piyada).Ətrafda mağaza,avtoyuma,uşağ bağçası,aptek və digər gündəlik lazımi obyektlər var.",18,"Qara Qarayev m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
1862242,2021-01-17,Yeni tikili,3 / 10,128 m²,3,var,192 000AZN,mülkiyyətçi,"Öz mənzilimdir. Studiya tiplidir.2 yataq otağı, qonaq, mətbəx və xoll bir yerdə.Tam yaşayışlı, qazlı və kupçalı binadır.Mən kupça almamışam.Vasitəçilərdən və vasitəçi şirkətlərdən xahiş edirəm narahat etməsinlər.Əşyaların bir qismi saxlanılacaq.
Yola və metroya yaxın yerləşir.",62,"Memar Əcəmi m.
"," Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,,,
