id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
1810668,2020-12-10,Yeni tikili,11 / 16,103 m²,2,yoxdur,127 000AZN,vasitəçi (agent),"Qeyd olunmus nom axirini 05 yigaraq zeng edin zehmet olmasa.  Xetai rayonu, Ukrayna dairesinin yaxinliginda yerlewen AMAL- 2015 elit yasayis kompleksinde 103 kvm sahesi olan 16 mertebeli binanin 10 cu mertebesinde 3 otaqli super temirli menzil satilir. Oboylar italya istehsalidir. Temirden sonra menzilde yasayis olmayib. Qaz, Su, Isiq daimidir. Qiymet stardir. Real aliciya endirim olunacaq. Elave olaraq 3 otaqli menzillerde var.",8,"Əhmədli m.
"," Xətai r.
"," Əhmədli q.
",,,,,,
1810665,2020-12-10,Köhnə tikili,2 / 5,66 m²,3,var,68 000AZN,mülkiyyətçi,"Tecili satılır
İnşaatçılar Metrosuna yaxin
Baku Molun yanı
1 otaq  33 kv artirma  elave 2 otaq 
3 otaga duzelıb
Geniş metbex Zal
Endirim olunacaq
Teze temir  orta ev",49,"İnşaatçılar m.
"," Yasamal r.
"," Yasamal q.
",,,,,,
1810661,2020-12-10,Köhnə tikili,5 / 5,50 m²,2,var,84 000AZN,vasitəçi (agent),Nəsimi Rayonu Durjba Kino Teatirin Amerka Səfirliyin Yaninda 5Mərtəbəli Ekispirimintalni Binanin 5Mərtəbəsində 2Otaqli Sahəsi 50Kv.m Tam Təmirli İstilik Mərkəzidir Qazi Suyu İsiqi Daimidir Yaxinliqinda Məkteb Usaq Baxcasi Park Market Avtobus Dayanacaqi Movcudur,6,"Dostluq kinoteatrı 
"," Koala parkı 
"," Azərbaycan Dillər Universiteti 
"," Nəsimi r.
",,,,,
1810658,2020-12-10,Köhnə tikili,4 / 5,55 m²,2,var,72 000AZN,vasitəçi (agent),"Daş kooperativ layihəli ,əşyalarla ilə birlikdə pol parket,su daimi .Təcili satllr",34,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,,
1810656,2020-12-10,Yeni tikili,15 / 18,117 m²,2,yoxdur,142 000AZN,vasitəçi (agent),"Tecili satilir....Real qiymetinden ucuz teklif. Koroglu ,Dede Qorqud parklarina yaxin  hazir  binada 2 otaqli temirsiz menzil.Binada temire icaze verilib,real aliciya endirim olacaq.Yaxinliqda orta mekteb,bagca var.",10,"Koala parkı 
"," Nəsimi bazarı 
"," Dostluq kinoteatrı 
"," Nəsimi r.
",,,,,
1810657,2020-12-10,Yeni tikili,8 / 18,138 m²,3,var,277 000AZN,vasitəçi (agent),"PARK AZURE

ÇIXARIŞLI və QAZLI bina.

18 mərtəbəli binanın 8-ci mərtəbəsində, 138 kvadrat metr sahəli 3 otaqlı, yelçəkən (сквозной) layihəli, 2 eyvanı, 2 sanitar qovşağı, 1 qarderobu olan təmirsiz (под мояк) mənzil satılır.

Çıxarış var.
Qaz var.

DİQQƏT !!!

Alıcılar üçün xidmət haqqı alqı-satqının 1%-ni təşkil edir !

ƏTRAFLI MƏLUMAT:

Paytaxt infrastrukturunun ən uğurlu hissəsində, Afiyəddin Cəlilov 27A ünvanında, 10 000 m2 sahədə inşa edilmiş Park Azure, lüks həyatın bütün atributlarını əlçatan edəcəkdir. 6 bloklu, 18 mərtəbəli Park Azure, 585 mənzili, avtodayanacağı, uşaq bağçası, hipermarketi, fitness və SPA salonu, kinoteatrı ilə sizi arzularınızın mənzillərinə qovuşduracaq.

1. AVTODAYANACAQ.
Rahat həyatın atributlarından biri, heç şübhəsiz, avtodayanacaqlardır. Park Azure yaşayış kompleksini seçənlərin avtomobilləri 2000-ə qədər yerlik geniş və təhlükəsiz avtodayanacaqda yer alacaqdır.

2. UŞAQ BAĞÇASI.
Uşaqlarınızın müasir, rahat və ən əsası sizə yaxın bağçada olmasını istəyənlər, Park Azure sizə bu imkanı da yaradır. Kompleksin 5-ci mərtəbəsində 1000 m2 sahədə dövrün son tələblərinə görə təchiz olunmuş və yüksək peşakarların çalışdığı uşaq bağçası övladlarınızın məktəbə qədər təhsil və inkişafında əvəzsiz yardım edəcəkdir.

3. HİPERMARKET.
Gündəlik ehtiyyaclarınızı təmin edə biləcək marketi axtarmaq lazım deyil. Park Azure kompleksinin 1-ci mərtəbəsində sizi super deyil, 5000 m2 ərazidə yerləşən nəhəng hipermarket qarşılayacaqdır.

4. FİTNESS və SPA.
Yorğun iş həftəsinin ağırlığını Park Azure kompleksinin 5-ci mərtəbəsində, 3000 m2-ə yaxın sahədə yerləşən Fitness və SPA salonunda ata biləcəksiniz. Burada müasir trenajorlarla yanaşı, qadın və kişilər üçün 2 ayrı hovuz da fəaliyyət göstərəcəkdir.

5. KİNOTEATR.
Kino həyatı rəngləndirən, asudə vaxtı dolğun və maraqlı edən əsas amillərdən biridir. Park Azure yaşayış kompleksinin 2-ci mərtəbəsində ümumi tutumu 1050 nəfər olan 5 zallı kinoteatr sizə dünya ekranlarına çıxan bütün filmləri ən yüksək görüntü keyfiyyəti ilə izləmə zövqü bəxş edəcəkdir.

6. MEGAFUN.
Park Azure sakinləri yalnız öz kompleklərində deyil, qarşı tərəfdə yerləşən Megufun əyləncə mərkəzində təqdim olunan bütün xidmətlərdən, 20-yə qədər kafe və restoranlardan, yüzlərlə oyun atraksionlarından yararlana və bol-bol əylənə bilərlər. Bunun üçün binanı tərk etmək belə tələb olunmayacaq. 2-ci mərtəbədə yerləşən yerüstü qapalı keçiddən istifadə yetərlidir. Bir neçə dəqiqə və siz Avropanın ən böyük qapalı əyləncə mərkəzindəsiniz.",26,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,
1810509,2020-12-10,Yeni tikili,7 / 12,126 m²,3,var,177 000AZN,vasitəçi (agent),"Cox COX Tecili DEYERINEN QAT QAT ASAGI QIYMETE !!!
İnşaatçılar metrosuna yaxın Yeni Yasamalda
evro remont lüks ev satılır... Klassik üslubda yüksək keyfiyyətli materiallarla təmir olunmuş , sahesi 12 /7 125 kvadrat , 3 geniş otaqlı menzil satilir KUPCA VAR tam yeni temirdən çixmiş , 2 hamam( yataq otağında ve dəhlizdə) , 2 balkonu olan , eyvan , mətbəx , dəhliz , balkonlar ve zal istipol ve yüksək keyfiyyətli keramaqranitle örtülmüştür. Yataq otaqlarının döşəməsi yüksək keyfiyyətli Türk laminatı ilə örtülmüşdür. İstilik sistemi kombidir..Elektrik sistemi GEWİSS-dir..Elektrik sistemi çox yüksek seviyyede düzeldilib..Kupça-çıxarışı vardır..,günəşli və havalı ,şəhərə panaraması olan evdir. Bina 24/7 kamera sistemi ve mühafizeçi ilə qorunur . Binada 3 mərtəbəli qaraj vardır . REAL ALICIYA .Qiymetde ENDIRIM OLACAQ !!! Xais olunur real alicilar elaqe saxlasinlar XIDMET HAQQI 1% TESKIL EDIR",7,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,
1810654,2020-12-10,Yeni tikili,4 / 5,200 m²,5,var,350 000AZN,vasitəçi (agent),"DƏYƏRİNDƏN QAT QAT UCUZ!!!
ƏLDƏN QAÇIRILMAYACAQ TƏKLİF!!!
Bakı şəhər Kazım Kazımzade küçəsində 4 mərtəbəli binanın 4-cü və 5-ci mərtəbəsində yerləşən dupleks mənzil satılır.Mənzil möhtəşəm LOFT janrnda təmir olunub.Şəkillər tam olaraq mənzilə aiddir.Mənzil bütün əşyalarla bir yerdə satılır.Mənizlin 2-ci mərtəbəsi ağ qoz taxtası ilə obşivka olunub.Mənzilin təmirinə 150000 AZN pul xərclənib.Mənzilin təmirdən sonra yaşayış olmayıb. Bütün əşyalarla birlikdə satılır. Binada qaz,su,işıq daimidir. Ümümi 200kv/m sahəsi olan mənzilin çıxarışı(kupçası) var.
Şirkətin xidmət haqqı:3500",50,"İncəsənət və Mədəniyyət Un. 
"," Elmlər Akademiyası m.
"," Yasamal r.
"," Yasamal q.
",,,,,
1810653,2020-12-10,Köhnə tikili,1 / 9,85 m²,3,var,140 000AZN,mülkiyyətçi,"Nerimanov r Montin..LANDAU mektebin yaninda, 9 mertebeli LENINQRAD layiheli binanin 1 ci mertebesinde 3 otaqli yaxsi temirli menzil.qaz su daimi.kombi var..kupca var.",9,"Montin bazarı 
"," Nərimanov r.
",,,,,,,
1810600,2020-12-10,Köhnə tikili,1 / 16,85 m²,4,var,90 000AZN,vasitəçi (agent),"ALICILAR ÜÇÜN 0% KOMİSSİYA.
Bakının Xətai rayonunun Gəncə pr. 20 A, Eksperimental lahiyəli binada yeni təmirli mənzili diqqətinizə təqdim edirik.
ÜMUMİ SAHƏSİ: 85.1 kv.m.– 4 otaq. 16 mərtəbəli binanın 1-ci mərtəbəsi.
✅Yaxşı təmirli. 
✅Laminat döşəmə. 
✅Taxta otaq qapıları.
✅PVC pəncərə.
✅Seyf giriş qapısı. 
✅Ayrı sanitar qovşağı. 
✅Su qızdırıcısı pyatiminutka.
✅Mərkəzi istilik sistemi.
✅Hamamda isti döşəmə.
✅Eyvan.
✅Lift (sərnişin və yükdaşıma).
✅Hamamda kafel və metlax, mətbəxdə kafel,metlax və laminat döşəmə.
✅Mənzil mətbəx mebel ilə birlikdə satılır,qalan əşyalar – razılaşma yolu ilə.
✅Domofon.
✅Sakit və təmiz həyət.
✅Həyətdə maşın saxlamaq üçün yer var. 
YERLƏŞMƏ: Ev Həzi Aslanov metrosuna yaxın ərazidə yerləşir. Ətrafda Minimarket, OBA, Araz, Bravo, Al market, Heydər Əliyev adına park, Mərkəzi dənizçilər xəstəxanası, 9 №-li uşaq poliklinikası, 8 №-li uşaq poliklinikası, 6 saylı şəhər poliklinikası, Vafi`s Heaven, 251 və 208 saylı uşaq bağçaları, 249, 260 və 269 nömrəli orta məktəblər var.
ASAN SƏNƏDLƏŞMƏ:
✅Evin çıxarışı(Kupça) var.
✅İpoteka ilə əldə etmək imkan var.
SİZƏ UYĞUN OLAN ZAMAN EVƏ BAXIŞ.
==================================================================
0% КОМИССИЯ ДЛЯ ПОКУПАТЕЛЕЙ.
В Хатаинском районе Баку по пр. Гянджа 20 A, в здании Экпериментального проекта представляем вашему вниманию отремонтированную квартиру.
ОБЩАЯ ПЛОЩАДЬ: 85.1 кв.м. – 4 комнаты. 1-ый этаж 16-этажного здания.
✅Хороший ремонт. 
✅Ламинатный пол.
✅Деревянные межкомнатные двери.
✅Пластиковые окна.
✅Сейфовая входная дверь.
✅Санузел раздельный. 
✅Нагреватель воды пятиминутка.
✅Отопительная система центральная.
✅Теплый пол в ванной.
✅Балкон.
✅Лифт (пассажирский и грузовой).
✅Кафель и метлах в ванной; на кухне кафель, метлах и ламинатный пол.
✅Квартира продаётся вместе с кухонной мебелью, все остальные принадлежности – по договоренности.
✅Домофон.
✅Спокойный и чистый двор.
✅Стоянка во дворе. 
ШАГОВАЯ ДОСТУПНОСТЬ: Квартира расположена недалеко от метро Ази Асланова. Вблизи имеются Minimarket, OBA, Araz, Bravo, Al market, парк им. Гейдар Алиева, Центральная клиническая больница моряков, детская поликлиника № 8, детская поликлиника № 9, городская поликлиника № 6 , детские сады Vafi`s Heaven, 251 и 208, средние школы № 249, 260 и 269.
ЛЕГКО КУПИТЬ:
✅Имеется купчая.
✅Есть возможность приобрести в ипотеку.
ПОКАЗ В УДОБНОЕ ДЛЯ ВАС ВРЕМЯ.",126,"Həzi Aslanov m.
"," Xətai r.
",,,,,,,
