id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1801517,2020-12-04,Yeni tikili,10 / 18,84 m²,3,var,138 000AZN,mülkiyyətçi,"KUPÇA VƏ QAZ VAR!!!ÖZ MƏNZİLİMDİR..Yasamal rayonu Şərifzadə küçəsində 20 yanvar və inşaatçılar metrosuna 5 dəqiqəlik məsafədə, N.Tusi adına klinikanın yanında 18/10 mərtəbəsində yerləşən əla təmirli 2 otaqdan 3 otağa düzəldilmiş mənzil satılır.Ümumi sahəsi 84 kv/mdir.Bina yaşayış üçün çox əlverişli infrastruktura malikdir.Geniş həyəti yeraltı qarajı və 2 ədəd sürətli lifti var.Qiymət 138000 Manat.Real alıcıya endirim olacaq.",97,"Yasamal r.
"," Yasamal q.
",,,,,,,,,
1802675,2020-12-04,Yeni tikili,16 / 21,135 m²,4,var,255 000AZN,vasitəçi (agent),Nərimanov metrosunda Heydər Əliyev mərkəzinin yanında 21 mərtəbəlinin 16 da 4 otaqlı 135 kv /m lik əla təmirli mənzil satılır.,34,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,,
1802673,2020-12-04,Yeni tikili,7 / 19,50 m²,2,var,87 000AZN,mülkiyyətçi,"20 Yanvar Metrosun Yaxinliqinda

1-Otaq 2-otaqa duzelmis menzil satilir

Menzil satilir mebelleriyle biryerde

Binanin qazi kupcasi var ...",7,"20 Yanvar m.
"," Yasamal r.
",,,,,,,,,
1802670,2020-12-04,Köhnə tikili,9 / 9,80 m²,3,var,126 000AZN,vasitəçi (agent),"Xətai metrosunun yanında, Leninqrad layihəli, 9/9, 80 kv, 3 otaq, köhnə təmir, yelkəçən, otaqlar və mətbəxt genişdir, girişləri ayrıdır, qaz, su, işıq fasiləsizdir, mərkəzi istilik sistemi, 2 s/q, 2 eyvanı, mənzərə Xocalı parkına, şəhərə və dənizə. Yaxınlıqda metro, 56 saylı orta məktəb, uşaq baxcası, park, iaşə obyektləri.",28,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,,
1802669,2020-12-04,Yeni tikili,1 / 11,43 m²,2,var,49 000AZN,vasitəçi (agent),"Kupcali. Xirdalan Aaaf park daxilinde isig su wifi ev telefonu katv var. 1otagli 2otaga boyudulmus. 1yatag otagi, 1qonag otagi kuxna studiyali, mebelleri ile birlikde seyf qapili.Balkonu heyete baxir. Ela temirli",7,"Xırdalan
",,,,,,,,,,
1802668,2020-12-04,Köhnə tikili,1 / 9,90 m²,3,var,115 000AZN,vasitəçi (agent),4 cu mikrorayon dairesinin yaninda 9 mertebeli binanin 1 ci mertebesinde 3 otaqli menzil zirzemisi ve qaraji ile birlikde satisha teklif olunur.Memar Ecemi metrosuna yaxindir.BELYETAJDIR 2 ci mertebe kimidir.Menzil umumi 170 kv zirzemi ile birlikde.Zirzemide hamam tualet ve sauna var 1 otaqi temir edilib 2 otaqi temirsizdir.Zirzemini tam olaraq yashayish uchun istifadeye tam yararlidir.Elave olaraq zirzemini qaraji ayrica kiraye vermekde olar.Qaraj genishdir 23 kv.Zirzemiye hem evden pillekenle dushmek olur hemde qarajdan.Shekillerde hamisi var.Elave olaraq binanin arxa terefine qapi achib baxcha bag kimi etmek olar qonshular edib.Otaqlar genish ayri ayridir.Nemishlik qetiyyen yoxdur.Merkezi istilik sistemi ela ishleyir.Artiq derecede xahish olunur shekiller var her shey gorunur bilinir.Qiymetde endirim olunacaq real aliciya.IPOTEKA ile almaq mumkundur.Umumi sahesi zirzemi ile evin 170 den choxdur,30,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,,
1802667,2020-12-04,Yeni tikili,16 / 19,67 m²,2,var,65 000AZN,vasitəçi (agent),"Alians Panorama park yaşayış kompleksində 1 dən 2 ə düzəlmiş mənzil təcili satılır.
Mənzil az bir müddətdir ki təmir olunub. Mənzili kreditlə götürmək mümkündür.
65000azn odeyib 27 ay ayda 1000 azn odemek ile əldə etmək olar
Mənzildə qalacaq əşyaları yerində danışılacaq.
Bu qiymətə bu kvadrata yoxdur.
Təcili satıldığı üçün bu qiymətə təklif olunur.
Ofis xidmət haqqı 1 %.

Nəğd almaq istəyənlər üçün 88.000 azn
",13,"Həzi Aslanov m.
"," Xətai r.
",,,,,,,,,
1802666,2020-12-04,Yeni tikili,13 / 18,113 m²,3,yoxdur,210 000AZN,vasitəçi (agent),"Наримановский  район, за  Министерством  образования сдается  3-х  комнатная  квартира.  18/13  этаж. Общая  площадь 113 кв.м. Отличный  новый  ремонт.   Куплена  вся  бытовая  техника. Газ,  свет,  вода  круглосуточно. Отопительная  система  комби.  В  здании  скоростной  лифт  СИГМА.  Тихий  и  охраняемый  24  часа двор.  На  данный  момент есть арендаторы  за  900  азн. Будет выдана купчая. 

Nəsimi ray, Təhsil Nazirliyinin arxasında yerləşən 18 mərtəbəli binanın 1cu mərtəbəsində 2 otaqdan 3 otağa düzəldilmiş mənzil kirayə  verilir. Ümumi sahəsi 113 kv.m  olan mənzil yeni əla təmir olunub. Bütün texniki avadanlıqlarla təchiz olunmuşdur. İstilik sistemi kombidir. Qaz, su işıq daimidir. Binada SİQMA surətli lift var. Sakit və 24 saat muhafizə olunan həyəti var. Hal Hazırda kirayəci var 900 azn. KUPCA VERİLECEK.
",29,"Təhsil Nazirliyi 
"," Nəsimi r.
",,,,,,,,,
1802659,2020-12-04,Yeni tikili,4 / 5,74 m²,2,var,52 000AZN,vasitəçi (agent),"Xirdalan seheri Icra Hakimiyyetinin yaninda 5 mertebeli binanin 4cu mertebesinde 2 otaqli ev satilir. Evin umumi sahesi 74 kv metrdir. Otaqlar ela temirli olmaqla yanasi genis, isiqli ve havalidir. Yaxinliqda mekteb baxca ve digger iase obyektleri yerlesir.
Qiymeti 52000 azn.
",5,"Xırdalan
",,,,,,,,,,
1802661,2020-12-04,Köhnə tikili,4 / 7,80 m²,3,var,150 000AZN,vasitəçi (agent),"Xetai metrosunun yaxınlığında, Eksperimental layihəli, 7/4, 80 kv, 3 otaqlı təmirli, yelkəçən, döşəmə parket, otaqlar və mətbəxt genişdir, girişləri ayrıdır, qaz, su, işıq fasiləsizdir, mərkəzi istilik sistemi, 2 s/q, bağlı eyvanı. Ceniş yaşıl həyəti. Yaxınlıqda metro, Xocalı parkı, 56 saylı orta məktəb, uşaq baxcası, iaşə obyektləri.",35,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,,
