id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1772136,2021-01-31,Yeni tikili,5 / 10,130 m²,3,var,235 000AZN,vasitəçi (agent),"✔ Nizami Metrosu
✔ Seherimizin Merkezinde 
✔ 6 ci Paralelde
✔ Araz Markete yaxin(kohne Favarit market) 
✔ Menzil Yüksək zövglə dizayn
✔ Qaz+kupça
✔ Skvaznoy
✔ Genis Seliqeli Heyeti var
✔ Esyali

✔Bina infrastruktur baxımdan əlverişli yerdə yerləşir
✔ 3 otaqli super təmirli mənzil Tecili Satilir!Mənzildə qaz , su, işiq daimidir. Mənzil kombi sistemi ilə qizdirilir ve hər bir əşya və avadanliqlarla təmin olunub. Bina məktəbə , baxçaya , aliş veriş mərkəzinə, istirahət parkina yaxin yerdə yerləşir. Bina 24 saat muhafize xidmeti,kodlu qapi ile təmin olunub. 2 suretli lifti , Parkinq var!
✔ Əlavə məlumat almaq uçun əlaqə saxliya bilərsiniz",2379,"Dövlət Statistika Komitəsi 
"," M.Hüseynzadə parkı 
"," Nizami m.
"," Yasamal r.
",,
1884675,2021-01-31,Köhnə tikili,3 / 5,67 m²,3,var,125 000AZN,vasitəçi (agent),"Deyerinden ucuz ve tecili satilir.Yasamal r-nu kecmis Globus Plazanin tam yaninda,Tbilisi pr-de,mertebe 5/3,eskperemental lahiyeli das bina,otaqlar ayri-ayridir.Qaz,su ve isiq saatla deyil,daimidr(24/7).Doseme parket,Pvc,yaxsi temirlidir.avtomobil saxlamaq ucun rahat parkovka,2 balkon,yelceken evdir.Evin umumi sahesi 67 kvm-dir.Bina yol qiragidir,Tbilisi Prospektindedir.Binanim etrafinda her bir serait movcuddur.Tecili satildigi ucun qiymer 125.000 manatdir.Real olan aliciya endirim olunacaqdir.",52,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,
1884674,2021-01-31,Yeni tikili,1 / 17,53 m²,2,var,77 500AZN,vasitəçi (agent),"8-MKR-n. QAZ VAR ! CIXARIW VAR !
Ayna Soltanova heykeline yaxindir. ""ELIT""-ticaret merkezin arxasinda.
Ganclik metrosundan avtobusla 10-deq. mesafedir.
1/17 martaba. Manzil 1-ci mertebe oldugu ucun balkonu yoxdur.
Sahasi 52 kvm. Manzil 2-otaglidir.
Qonag otagi yatag otagi ve metbex hamisi iwiglidir. (pencere hamisinda var)
KOMBI istilik sistemi var. Isti-soyug suyu daimidir.
Teze Supertamir olunub. Manzilde hec kim qeydiyyatda yoxdur.
Wekilde gordukleriniz menzile aiddir. Xahiw olunur metni diqqetle oxuyun sonra zeng vurun.
Firmanin xidmet haqqi alici terefden 1% tewkil edir.
Saat 10-00 dan --- 21-00 kimi zeng vurub baxa bilersiniz.",13,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,
1884673,2021-01-31,Yeni tikili,5 / 19,52 m²,2,var,72 500AZN,vasitəçi (agent),"Xətai Rayonu, Əhmədli Metrosunun yaxınlıqında, Pitistopun yanında, Şaiq mtk-da Yeni Tikili 19 Mərtəbəli Binanın 5-ci Mərtəbəsində 1-2 Düzəlmə 52 kv/m sahəsi olan Mənzil satılır. Mənzil təmirlidir, istilik sistemi kombidir, Qaz,işhıq,su Daimidir. sənəd Müqavilədir-Binada KUPÇA var.  Alıcı KUPÇANI birbaşha öz adına ala bilər. Binanın 2 Lifti, 24/7 Müafizə Kamera sistemi və s var. Əlavə məlumat üçhün əlaqə + whatsapp var nömrədə. Əlavə məlumat üçhün əlaqə + whatsapp var nömrədə. ",49,"Xətai r.
"," Əhmədli q.
",,,,
1884672,2021-01-31,Yeni tikili,17 / 20,161 m²,3,var,184 000AZN,vasitəçi (agent),"TECILI!!! Asan Xidmetin arxasinda 20 mertebeli binanin 17-ci mertebesinde 3 otaqli temirsiz (podmayak) menzil satilir.Menzil ortadir,yelcekendir (skvaznoy),sehere ponaramasi var.Qaz,isiq,su daimidir,sened Cixaris (kupca).",11,"Tibb Universiteti 
"," Neftçi bazası 
"," Nəsimi r.
",,,
1884670,2021-01-31,Yeni tikili,14 / 27,64 m²,1,yoxdur,99 200AZN,vasitəçi (agent),"TƏCİLİ!!! Grand Hayat, sənəd şirkət müqaviləsi. ",45,"Yasamal r.
",,,,,
1884665,2021-01-31,Yeni tikili,15 / 15,160 m²,3,yoxdur,320 000AZN,vasitəçi (agent),"
Xetai rayonu Xocali prosprktinde yerleshen 15 mertebeli yeni tikili binanin 15-ci mertebesinde,umumi sahesi 160 kv.metr olan super temirli menzil satilir.Menzil 3 otaqlidir, genish metbexi,ayri sanuzeli var.Temirinde yuksek keyfiyyetli ve bahali materiallardan istifade olunub.Qazi,suyu,ishigi sabitdir.Bina etrafinda butun lazimi infrastrukturlar movcuddur.Qiymet 320.000 Azn.Etrafli melumat ucun zeng edin.",12,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,
1884664,2021-01-31,Köhnə tikili,6 / 9,60 m²,2,var,79 000AZN,vasitəçi (agent),TECILI;;Yeni Gunesli V massivi Xezer Marketin Arxasi Kohne tikili bina 9/6-ci mertebesinde 2 otaqli ELA temirli Orta blok Menzil Satilir.Isdilik sisdemi merkezidir-qaz-su-isiq daimidir.Yaxinliqda Mekteb-Baxca ve diger iase obyektleri var.Sened Kupcadir.Ofis haqqi 1/% teskil edir.,61,"Suraxanı r.
"," Yeni Günəşli q.
",,,,
1884662,2021-01-31,Yeni tikili,10 / 17,94 m²,3,yoxdur,290 000AZN,vasitəçi (agent),"Hüseyn Cavid prospekti,möhtəşəm Park Akamedik kompleksinin 17/10 mərtəbəsində ümumi sahəsi 94 kvm olan 3 otaqlı (studio tipli) təmirli və şəhərə gözəl panoraması olan mənzil satılır.Bu binanın reklama ehtiyacl yoxdur,bilənlər bilir. Sənədi müqavilədir! Ətraflı məlumat üçün əlaq saxlaya bilərsiz!",12,"Hüseyn Cavid parkı 
"," Elmlər Akademiyası m.
"," Texniki Universiteti 
"," Yasamal r.
",,
1884660,2021-01-31,Yeni tikili,7 / 19,134.8 m²,3,var,148 280AZN,mülkiyyətçi,TƏCİLİ SATILİR!!! Butun senedler qaydasinda qaz.su .isiq var Real aliciya endirim var..,107,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,
