id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1721142,2020-10-13,Yeni tikili,16 / 18,135.5 m²,3,var,159 000AZN,vasitəçi (agent),"EKSKLUZİV TƏKLİF !!! TƏCİLİ!!! 
Nizami rayonu,   Neftçilər Metrosu,(300 metrliyi piyada 1 dəqiqəlik yol)  “Komfort” şadlıq sarayının arxasında, Məzahir Rüstəmov   küçəsi,  prestij  hesab olunan  “ORBİTA”  - mtk-ya”məxsus   18  mərtəbəli yeni tikili binanın 16 -ci  mərtəbəsində, ümumi sahəsi  135.5  kvm olan, qanuni  3 otaqlı,ideal proyektli   QAZLI   ÇIXARIŞLI  təmirsiz  mənzil təcili olaraq bazar qiymətindən aşağı  (şirkət satış qiyməti,varsa mənzil 1300azndir 1kvm üçün) satılır. Binada  su,elektrik daimidir. Mənzilin  şəhərə “Panoraması”  xoş aurası, və işıqlı otaqları vardır.  Tam yaşayışlı binadır. Müasir standartlara cavab verən kompleksin üstünlükləri: metroya yaxın məsafədə yerləşməsi; 24 saat kamera nəzarəti; geniş və səliqəli həyət;kodlaşdırılmış giriş-çıxış; mərmər bloklar; daimi qaz,işıq və su təminatı; müasir tələblərə uyğun lift; yanğın təhlükəsizlik sistemi; yaxınlıqda uşaq bağçası və məktəb; tıcarət və xidmət obyektlərı  mövcuddur. Real müştəri ilə qiymətdə razılaşma mümkündür!!  ",118,"Neftçilər m.
"," Nizami r.
",,,,,,,,
1728270,2020-10-13,Köhnə tikili,3 / 5,90 m²,3,var,250 000AZN,vasitəçi (agent),Elimler m st nin yaxinliqi Dovlet Statistika Komtesinin yaninda 5 mertebeli binanin 3 cu mertebesinde super temirli 3 otaq 90 kv metr sahesi olan menzil satilir qazi suyu isigi dayimidir istilik sistemi kombidir otaqlarda kondisoner var cox gozel bir erazide yerlesir sened kupca cixaris,28,"İncəsənət və Mədəniyyət Un. 
"," Dövlət Statistika Komitəsi 
"," Nizami m.
"," Yasamal r.
",,,,,,
1653583,2020-10-13,Köhnə tikili,2 / 3,200 m²,4,var,400 000AZN,vasitəçi (agent),"                        Sahil  metrosu  yaxiniqi  ,Nizami kino teatri  yanınada yerləşən   
2  mertebeli binanin  2ci mertebesinde (menzilin ustu cardaqdir.)   Arxitektur lahiyeli binada 4 otaq təmirli mənzil satılır. 
Ümumi sahəsi 200 kv.m.   
1 qonaq otaqi , 1 ish otaqi (cabinet), 2 yataq otaqi , 2 sanitar qovshaqi, 1 aciq balkon, bir genish metbex, pol mazayka parket, isttilik kombi ,menzilin girishi blokdandir iki girishi var menzile daxil olmaq ucun.
QIYMET STARTDIR",44,"Milli Konservatoriya 
"," Bakı Musiqi Akademiyası 
"," Nizami kinoteatrı 
"," Neft Akademiyası 
"," Malokan bağı 
"," Qış parkı 
"," Sahil bağı 
"," 28 May m.
"," Sahil m.
"," Səbail r.
"
1728266,2020-10-13,Yeni tikili,15 / 16,105 m²,3,var,115 000AZN,vasitəçi (agent),"ГАЗ и КУПЧА есть. 8 мкр. Около теннисной академии , и метро Азадлыг,  16/15- 3 ком. общей площадью 105кв.м. ремонт на 30%  сделан , подземная парковка, детская площадка. Оплата фирме 1 %. ",12,"Azadlıq Prospekti m.
"," Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,
1728264,2020-10-13,Köhnə tikili,3 / 9,80 m²,3,var,155 000AZN,vasitəçi (agent),"nesiriyyatin arxasi arb t/k yani 9/3-3 otaq das bina univeristetin insa etdiyi kopirativ spes lahiyeli yaxsi temir boyuk kuxna  otaqlar ayri iki balkon 
xidmet haqqi 1%",41,"Memarlıq və İnşaat Universiteti 
"," Bakı Dövlət Universiteti 
"," Yasamal r.
",,,,,,,
1728263,2020-10-13,Köhnə tikili,2 / 5,56 m²,2,var,105 000AZN,vasitəçi (agent),"Yasamal r-nu., Qızıl Şərq küç. ""Rus kilsəsi""nin yanı 5 mərtəbəli “Stakinka” layihəli binanın 2-ci mərtəbəsində 2 otaqlı yaxşı temirli menzil. Ümumi sahəsi 56 kv.m. Hündür tavanlar, geniş və işıqlı otaqlar. Kodlu blok sistemi. Heyetde parkinq üçün yer. 24 saat mühafizə xidməti.

Ясамальский р-н., Улица Золотой Восток. Рядом с ""Русской Церковью"" в 5 этажном здании на 5-м этаже продается 2-х комнатная квартира хорошим ремонтом. Проект “ Сталинка”. Общая площад 56 кв.м. Высокие потолки, комнаты просторные и светлые. Кодовая блоковая система. Во дворе имеется место для паркинг. Круглосуточъно охраняемый двор.",40,"İdman kompleksi 
"," İzmir parkı 
"," Yasamal r.
",,,,,,,
1728261,2020-10-13,Yeni tikili,2 / 18,75 m²,2,var,162 000AZN,mülkiyyətçi,"Полностью заселённый дом, развития инфраструктура,качественный ремонт из дорогих материалов. Полы из дубового паркета,тёплые полы на кухне,в коридоре и в ванной. В шаговой доступности бульвар,школа,автобусная остановка. Во дворе детский садик, игровая зона и супермаркет. КУПЧА И ГАЗ имеется. После ремонта никто не жил. Не переделка (2 комнатная по документам).
Tam yaşayişli binada 2 otagli (senedle 2otagli) menzil satilir. Cox seligeli ve keyfiyyetli temir olunub. CIXARIŞI (Kupca) ve GAZI var. Bulvara 7 degigelik,28 May metrosuna 10 degigelik piyada yoldu.Menzilin döşemesi palid parket ve isti döşemedir. Heyetinde uşag baxcasi ve supermarket var. Temirden sonra yaşayiş olmayib.",193,"Cavanşir körpüsü 
"," Xətai r.
"," Şah İsmayıl Xətai m.
",,,,,,,
1728257,2020-10-13,Yeni tikili,10 / 18,91 m²,3,var,138 000AZN,vasitəçi (agent),"TƏCİLİ!!!
QAZ VƏ KUPÇA İLƏ TƏCHİZ OLUNMUŞ YENİ TİKİLİ!!!
Q.Qarayev metrosu, ""Nəbz"" klinikasının yaxınlığında
18 mərtəbəli bininanın 10-cu mərtəbəsi
3 otaqlı mənzil (2-dən 3-ə düzəlmə) satılır.
Ümumi sahə 91 kv.m
Mənzil əla təmirlidir, parket döşəmə.
Quraşdırılmış mətbəx mebeli, kombi sitemi, isti pol, eyvanı və s var.
Binanın 3 sürətli liftləri, mühafizə olunan həyəti və s var.
СРОЧНО!!!
НОВОСТРОЙКА С ГАЗОМ И КУПЧЕЙ!!!
Метро К.Караева , поблизости клиники ""Нябз
Продается 3-х комнатная (2-х комнатная переделанная в 3-х) квартира
10-й этаж 18-и этажного дома.
Общая площадь 91 кв.м .
Отличный ремонт, паркетный пол.
Встроенная кухонная мебель, комби система, теплый пол.
В здание имеется скоростных лифт, охраняемая территория. ",33,"Qara Qarayev m.
"," Nizami r.
",,,,,,,,
1728253,2020-10-13,Yeni tikili,10 / 16,73 m²,3,yoxdur,150 000AZN,vasitəçi (agent),"Nəsimi rayonu,Azadlıq prospekti Amerika səfirliyinin yanında yerləşən DRAFT MTK tərəfindən yeni inşa edilmiş 16 mərtəbəli  pilot layihənin 10-cu mərtəbəsində ,ümumi sahəsi 73 kvm olan rodnoy 3 otaqllı yaxşı təmirli mənzil təcili olaraq satılır.Mənzilin qiyməti 150.000 azn-dir! 
Xidmət haqqi 1% təşkil edir.
",33,"Dostluq kinoteatrı 
"," Bakı Slavyan Universiteti 
"," Azərbaycan Dillər Universiteti 
"," Koala parkı 
"," Nəsimi r.
",,,,,
1728252,2020-10-13,Yeni tikili,3 / 10,140 m²,3,yoxdur,245 000AZN,vasitəçi (agent),"SEHERIN MERKEZINDE GAZLI KUPCALI  NAVASTROYKADA MENZIL SATILIR. 

Nizami metrosunun yaxinliginda yeni tikili 10 mertebeli binanin 3-cu mertebesinde 140 kv, (ZAL 35kv) 3 otaqli, HUSUSI DIZAYNER TEREFINDEN BAHALI TIKINTI MATERYALLARIYLA zovkle islenmis super-temirli (TEMIREDEN SONRA YASAYIS OLMAMIS) menzil satilir!! menzil kesintisiz qaz,QUPCA, su, isiq,metbex mebeli, kombi istilik sistemi, seyf qapi, daim islek veziyyetde SIGMA lift, heyetyani sahede ve binanin altinda parking zone, mekteb, market, usaq bagcasi, gozellik salonu, fitness merkezi, idman kompleksi, restoran ve kafeler, eczaxana, xestexana, merkezi yolun yaxnliginda-elverisli yerde yerlesir!!

REAL MUSTERIYE EVE BAXILANDAN SONRA ENDIRIM OLUNACAK.
",7,"Nizami m.
"," Beşmərtəbə 
"," Yasamal r.
",,,,,,,
