id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1944910,2021-03-04,Köhnə tikili,5 / 5,36 m²,1,yoxdur,42 000AZN,vasitəçi (agent),"9 cu mikrorayonda, Leninqrad layihəli 1 otaq, 2 otağa düzəlmə tam təmirli mənzil satılır. Ciddi alıcıya, ciddi endirim olacaq. ",4,"Sumqayıt
",,,,,,,,,
1905849,2021-03-04,Yeni tikili,14 / 14,136 m²,3,yoxdur,170 000AZN,vasitəçi (agent),"Şərifzadədə, İnşaatçılar metrosunun çıxışında, Kontakt Home-nin üzərində, 136 kvm, 3 otaqlı, podmayak mənzil satılır. Mənzil yelçəkəndir. Binada qaz var, kupça yaxın zamanda veriləcək.
Qiymət 170 min",48,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
1944909,2021-03-04,Yeni tikili,13 / 17,61 m²,2,var,107 000AZN,mülkiyyətçi,"Dərnəgül metrosundan 200 metr arali geniş həyət uşaq meydançası və yeraltı qaraj.Ətraf park yaşıllıq Yaxşı təmir bütün otaqlar parket qalan hər yer isti pol ,pultla imergasın kombisi  bahalı qapı və aksesuarlar. Bütün mərtəbələr keramoqranit.cənuba baxan işıqlı mənzildi.",1587,"Dərnəgül m.
"," Binəqədi r.
"," 7-ci mikrorayon q.
",,,,,,,
1944906,2021-03-04,Yeni tikili,19 / 20,205 m²,4,var,350 000AZN,vasitəçi (agent),KUPÇALI QAZLI XƏTAİ Neftçilər xəstəxanasının arxasında inşa edilmiş HALAL MTK nın binasında VİP blokda 70% təmirli  möhtəşəm dəniz mənzərəli skvaznoy mənzil satılır.,46,"Cavanşir körpüsü 
"," Nəsimi r.
",,,,,,,,
1944904,2021-03-04,Yeni tikili,4 / 17,106 m²,2,var,145 000AZN,vasitəçi (agent),"Nəsimi rayonu, Asan Xidmətin yaxınlığında yerləşən yeni tikilidə 2 otaqlı təmirsiz mənzil satılır. Qaz Kupçalı binadır. 

S=106m2
145000Azn
",12,"Nəsimi r.
",,,,,,,,,
1944902,2021-03-04,Yeni tikili,4 / 9,68 m²,2,var,34 000AZN,mülkiyyətçi,"HAZIR IPOTEKA!!! Super temirli ,ozum temirin ustunde durmuwam,wirket etmeyib.
Gozel ve geniw heyeti,qarwisinda mawin saxlamag ucun cox sayda yer,Heyder Elivev parki ile uzbeuz,Absheron City kompleksin birbawa Bravo markete heyetden giriwi.
Hazir ipotekadadir,ilkin odeniw 34000 azn,aylig odeniw 461 azn 185 ay.",4238,"Xırdalan
",,,,,,,,,
1944900,2021-03-04,Yeni tikili,7 / 12,60 m²,2,yoxdur,92 000AZN,vasitəçi (agent),"M.Ecemide 12-7 ci mertebesi 60km 2-otaq duzelme super temirli.temirden sonra yasayis olmayib.Evin temiri bahal ve  keyfiyetli matriyaldan isdifade olunub.Alqi satqi gunu acarlar tefil verilecek.

Gun erzinde isdenilen vaxt baxmaq olur.",20,"Memar Əcəmi m.
"," Nəsimi r.
"," 5-ci mikrorayon q.
",,,,,,,
1944899,2021-03-04,Köhnə tikili,2 / 9,68 m²,4,var,120 000AZN,mülkiyyətçi,"Su, qaz, ishiq daimidi. kupcasi var, leningradski proektqiymet 120min, ashagi yeri var. 2 terefdede enli balkon",81,"Xətai r.
"," Əhmədli q.
",,,,,,,,
1944896,2021-03-04,Yeni tikili,3 / 17,114 m²,3,yoxdur,260 000AZN,vasitəçi (agent),"YASAMAL musabeyov parkin yani. Yeni tikili bina 17 mertebeli binanin 3 cu mertebesi. Sahesi 114 kv. Menzil 3 otaqdan ibaretdir. Qaz var. Senedler kupcaya verilib. Menzildeki esyalar qiymete daxildir. Qonaq otagi destdi, televizorlar, 2 yataq otagi destdi, metbext mebeli, foye ucun mebeller, paltaryuyan, soyuducu, qab yuyan hamisi qiymete daxildir.
9096
",9,"Yasamal bazarı 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
1944893,2021-03-04,Yeni tikili,10 / 11,64 m²,2,yoxdur,103 000AZN,mülkiyyətçi,"4-cu mkr dairesine yaxin,ecemi ve nesimi metrosuna piyada 7,8 deq mesafede yerlesen,tek bloklu 11mertebeli binanin 10-cu mertebesinde super temirli,temirden sonra yashayish olmayib,1 otaqdan 2 otaqa duzeltme menzil satilir.Binanin etrafinda mekteb,ushaq baxcasi ve bravo super marketi yerleshir.Binanin 2süretli lifti ve yer alti qaraji movciddur.Oz evimdir tecili satilir",181,"Tibb Universiteti 
"," Nəsimi r.
",,,,,,,,
