id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1856973,2021-01-27,Yeni tikili,8 / 8,50 m²,1,yoxdur,60 000AZN,vasitəçi (agent),Bakixanov Rezidensdə 1otaqli mənzil satılır təmirə başlamaq olar  Stansya Razində gözəl mənzərəli evdir.,662,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,,
1879241,2021-01-27,Yeni tikili,1 / 1,90 m²,3,var,35 000AZN,mülkiyyətçi,satılır ev.90kv otaq sayı 3 sənəd çıxarış qiymətdə razılaşmaq olar.,36,"Sabunçu r.
"," Maştağa q.
",,,,,,,,,
1879240,2021-01-27,Köhnə tikili,2 / 9,51 m²,2,yoxdur,81 000AZN,vasitəçi (agent),"COX TECILI:Yeni Yasamalda.Insaaatcilar metrosuna yaxin erazide 9 un 2 ci mertebesinde orta temirli  Menzil satilir..Menzilde merkezlesdirilmis istilik sistemi var ve esyalarla birlikde satilir..Binada qaz,su,isiq daimidir..Binanin yaxinliginda butun lazimi infrastrukturlar yerlesir..Real alicilar narahat etsin..Qiymet sondur..Xidmet 1%",82,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
1879065,2021-01-27,Yeni tikili,10 / 11,174 m²,4,var,260 000AZN,vasitəçi (agent),"Təcili olaraq Kupçalı Binada super təmirli mənzil satılır!!!!

  Əcəmi metrosu Macdonalds yaxınlığında yeni tikili binada super euro təmir 4 otaq radnoy 174kvm 11/10cu mərtəbəsində mənzil satılır.Binada kupça var.Qazı suyu işığı daimidir.Təmirində bahalı materiallardan istifadə olunub.Metroya yaxın məsafədədir",6,"Memar Əcəmi m.
"," Nəsimi r.
"," 1-ci mikrorayon q.
",,,,,,,,
1879235,2021-01-27,Yeni tikili,4 / 18,112 m²,3,var,250 000AZN,vasitəçi (agent),"                  TƏCİLİ SATILIR!

Xətai ray-da, ən prestij yerdə, 18/4 mərtəbəli binada 2 peredelka3-ə cox zövglu remontla ev satılır.",25,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,,
1879233,2021-01-27,Yeni tikili,14 / 20,116 m²,3,var,200 000AZN,vasitəçi (agent),Azinko yaşayış kompleksində tam yaşayışlı  qazi və çıxarışı olan binada təmirli mənzil satılır.Nərimanov metrosu və Metro parkin yaxınlığında yerləşir,42,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,,
1879229,2021-01-27,Yeni tikili,1 / 1,420 m²,7,var,750 000AZN,vasitəçi (agent),"satılır. Merdekanda bravo yolunda 25 sotda mohteşem Villa.Umumi sahesi 420 kv.m olan villanin 6-yataq otagi,1-geniş Zal,Mətbəxt,sanuzeli var.
Həyətində axran otagina kimi var.
qiymət 750.000(AZN)
Ətrafli məlumat ucun əlaqə
",4,"Xəzər r.
"," Mərdəkan q.
",,,,,,,,,
1879225,2021-01-27,Yeni tikili,5 / 16,100 m²,4,var,155 000AZN,vasitəçi (agent),"COX  TECILI!!!!  Elimler Akademiyası və  Nizami    metrosunun 6-7  dəqiqə  piada  ,  Insaatcilar prospekti,  Olimpin arxasinda yerlesen  Yeni tikili  16 mertebeli binanin 5ci mertebesinde    yerləşən 4 otaqli menzil satilir.  Umumi sahesi  100 kv.m . Yaxşı təmirli. Yasayis ucun her bir seraiti olan menzil.  Merkezi istilik sistemi ile techiz olunmusdur. Menzilin ozunun ayrica qaraji da var. ( elave qiymete).  Etrafinda butun lazimi iashe obyektleri movcuddur.  Qarşısında  boyuk park var. Sənə  KUPCA

В  6-7  минутах  от  метро  Элимлер  Академиясы  и  Низами,  по  проспекту  Иншаатчилар  за  Олимпом  продается  4-х  комнатная  квартира.  16/5  этаж.  Общая  площадь  100  кв.м.  Хороший  ремонт.  Для  проживания  есть  все  условия.  Центральная  отопительная  система.  Есть   свой  гараж.  ( за  отдельную  оплату  в  сумме  5.000 азн.)  Около  дома  большой  парк.  Рядом  школа,  магазины,  детский  сад.  Все  документы  в порядке.  Имеется  КУПЧАЯ. 
",29,"Dövlət Statistika Komitəsi 
"," İncəsənət və Mədəniyyət Un. 
"," Nizami m.
"," Yasamal r.
",,,,,,,
1879226,2021-01-27,Köhnə tikili,9 / 9,75 m²,3,var,115 000AZN,vasitəçi (agent),"Cox..Cox..TECILI.SATILIR..Bineqedi r 8 ci mkr da  Azadlıq prospekti metro stansiyanın cıxışında yerləşir.Elave su çəni, damafonu, interneti və daimi lifti var. 9 mertebeli binanin 9 cu mertebesinde orta blokda 3 otaqli menzil satilir..Xaiw olunur ciddi wexsler elaqe saxlasin ..Ofis haqqi 1%",28,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,,,
1879221,2021-01-27,Yeni tikili,1 / 20,124 m²,3,var,185 000AZN,vasitəçi (agent),"Gənclik metrosuna yaxin yerləşən, OLyumpus parkda yerləşən 20 mərtəbəli binanın 1ci mərtəbəsində yerləsən radnoy 3 otaqlı , sahəsi 124 kv. m. olan PODMAYAK mənzil satılır. Mənzildə su qaz və işıq daimidir. Binaya yaxın böyük marketlər , məktəb, bağça var. ",6,"Koala parkı 
"," Zoopark 
"," Dostluq kinoteatrı 
"," Nəsimi bazarı 
"," Nərimanov r.
",,,,,,
