id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
1909332,2021-02-16,Köhnə tikili,6 / 6,105 m²,4,var,205 000AZN,mülkiyyətçi,"Срочно

Продается 4х комнатная квартира на площади Фонтанов. По всем вопросам звонить 

Şəhərin elit ərazisi sayılan Monolit bina, 6 mərtəbəli binanın orta mərtəbəsi,stalinka layihə, ümumi sahəsi 105 kv.m., 3 otaqlı təmiz və işıqlı,yaxşı təmirli, şəhərə və parka gözəl mənzərəsi var. Qaz, su, işıq daimidir. Paradnı giriş. Kupça (Çıxarış) var. Mənzil tam əşyalı avadanlıqlı və bütün mebellərlə birgə satılır. Ətrafında bütün infrastruktur mövcuddur. Binanın maşın dayanacağı, var. Qiyməti: 205, 000 manat.",361,"M.Ə.Sabir parkı 
"," Mərkəzi Univermaq 
"," İqsadiyyat Universiteti 
"," Azərbaycan kinoteatrı 
"," Fontanlar bağı 
"," Axundov bağı 
"," İçəri Şəhər m.
"," İçəri Şəhər 
"," Dövlət İdarəçilik Akademiyası 
"," Səbail r.
",,
1911164,2021-02-16,Yeni tikili,4 / 16,175 m²,4,var,420 000AZN,vasitəçi (agent),"HORMETLI MUSTERILER !!!
Yasamal rayonu , Nizami metrosunun yani , Nizami Mallun ustunde yerlsen 16 mertebeli Elit binanin 4 cu mertebesinde olan 175 kvm (qanuni 4 otaqli ) Ela temirli Menzil satilir.. Menzil 4 otaq (4 sanuzelden) ibaretdir . Tam yasayisli bir binadir.Menzil skvaznoydur . Qaz, su ,isiq daimdirr. Sened (Cixaris ) Bina infrastruktur cehetden cox ideal yerde yerlesir , Seher merkezine , Sahil metrosuna , Tarqovuya 5 deqlik mesafededir ... Binanin 3 suretli ve sessiz isleyen lifti movcuddur ..Barter etmek de olar (70% Negd , 30 % ise ( bagevi, menzil, masin, torpaq sahesi ve sare ) Bina Kristal Group wirketi terefinden keyfiyetli materiallarla tikilmisdir! Xais olunur real alicilar narahat etsin , Real aliciya endirim olunacaq , xidmet haqqi 1 % dir .",22,"Nizami m.
"," Beşmərtəbə 
"," Yasamal r.
"," Yasamal q.
",,,,,,,,
1889683,2021-02-16,Köhnə tikili,9 / 12,120 m²,3,var,159 000AZN,vasitəçi (agent),"TƏCİLİ!!! Şəhərin düz mərkəzində, 28 may metrosu çıxışında, Amerika Səfirliyi yanında 12 mərtəbəli tikilinin 9-cu mərtəbəsi, QANUNİ 3 otaqlı, 110 kv, Təmirli mənzil təcili satılır. Mərkəzi İstilik sistemi var. Su çəni quraşdırılıb. Binanın qabağı açıqdır. Sənədi Kupça.",40,"Dostluq kinoteatrı 
"," Koala parkı 
"," Azərbaycan Dillər Universiteti 
"," Bakı Slavyan Universiteti 
"," Nəsimi r.
",,,,,,,
1914664,2021-02-16,Köhnə tikili,4 / 5,45 m²,2,var,78 000AZN,mülkiyyətçi,"Əcəmidə metronun tam yaxinliginda, İdeal etriyyatla uz uze, yolun kenarinda, kardeslerin arxasinda yerlesirTəmirli, kondisanerli evdir, pəncərəsi Əcəmidə İdeal mağazasına baxır, təcili satıllr,daimi suyu qazi isigi var, ev yiyəsinin özüdür, qiymətdə razılaşmaq olar",131,"Memar Əcəmi m.
"," Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,,,,
1904735,2021-02-16,Yeni tikili,15 / 17,113 m²,2,yoxdur,140 000AZN,vasitəçi (agent),"TƏCİLİ!!!

EFFEKT MTK

Nərimanov rayonu, Heydər Əliyev Mərkəzinin yaxınlığında yerləşən ""Effekt"" Mtk tərəfindən inşa edilmiş yeni tikilidə 2 otaqlı təmirsiz mənzil satılır. Rahatlıqla 3 otağa düzəlir.

Ətraflı məlumat üçün qeyd olunan nömrə ilə əlaqə saxlaya bilərsiz.",21,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,,,,,
1914661,2021-02-16,Yeni tikili,4 / 19,102 m²,3,var,110 000AZN,vasitəçi (agent),"SUPER  PODMAYAK MƏNZİL SATILIR!!!
Qaz + Kupça +
-📌 Yasamal rayonu Yeni Yasamal da Bizim marketin  yanı, Bazar storenin arxasında yerləşən
- 📌 Yüksək Keyfiyyətlə inşa olunmuş
-🌃 19 mərtəbəli binanın 4-cü mərtəbəsində
-🏬 ümumi sahəsi 102kv.m
-🏠 3 otaqlı
-🛠️təmirsiz
- 🏠mənzil satılır.
-💡☀️ İşıqlı geniş mənzildir.
-📌Sənədləri qaydasındadır, alqı-satqıya hazırdır.
-📌Kupça var.
- 📌Avtoparkingi , geniş həyəti, uşaq meydançası və 24 saat mühafizə xidməti mövcuddur.
-📌 Bina çox gözəl infrastruktura malik bir ərazidə yerləşir, bir çox iaşə obyektləri, avtodayanacaq binanın yaxınlığındadır.
-📌İnşaatçılar metrosuna piyada 7-8 dəqiqləlik məsafədə yerləşir.
-💵START Qiymət; 110.000 AZN.
-📌Real alıcıya endirim olacaq.
- 💰Ofis haqqı 1% təşkil edir.",52,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,,,
1912588,2021-02-16,Yeni tikili,11 / 18,210 m²,4,var,330 000AZN,vasitəçi (agent),"(B№23)Təcili! QAZLI və KUPÇALI, Tam yaşayışlı MTK-da, Dədə Qorqud, Koroğlu, Koala, Zorge parklarının, Tibb Universitetinin əhatəsində, BSM-in və Travmatologiyanın yanında,
•4 – otaq,
•210 kv.m.,
•qonaq otağı 50 kv,
•mətbəx 30 kv yaxındır
•2 sanuzel,
•2 ədəd sürətli ""Siqma"" lift.
Binada qaz,“kupça”, var. Bina məktəblərin , baxçaların , metronun , aliş-veriş mərkəzlərinin yaxinliqda yerləşir. yeraltı qarajı, 24 saat mühafizə olunan həyəti və, uşaq meydançası var. Real alıcı ilə qiymətdə razılığa gəlmək olar.
Əlavə məlumat uçun əlaqə saxlaya bilərsiniz.",342,"TQDK 
"," Nəsimi r.
",,,,,,,,,,
1914657,2021-02-16,Yeni tikili,19 / 20,114 m²,3,var,168 000AZN,vasitəçi (agent),"Tecili !!! QAZLI  KUPCALI !!! Menzil
Binəqədi rayonu, 9 mkr, Tərlan şadlıq sarayının yaxınlığında inşa edilən Yeni tikili Qazla  tehciz edilmiw  20  mertebeli binanin 19 cu mertebesinde sahesi 114 kv/m olan radnoy 3 otaqdan  4  otaqa yaxwi təmirle duzelmiw və Çıxarışlı (kupça) mənzil satılır. Menziln istilik  sistemi kombi  ile  tertib  edilib  doweme  parketdi , duş kabina cakuzi, göyrüş ağaçından qapılar, isidilən döşəmələr vardır. Mənzil EWYALARLA  BIRGE SATILA BILER yumşaq mebel, yataq mebeli, uşaq mebeli, mətbəx mebeli, koridorda 2 ədəd paltar şkafı, kondisionerlər, 4 ədəd televizor, sifarişlə düzəldilmiş böyük stollar, qab yuyan, paltar yuyan, elektrik soba, böyük soyuducu, mikrodalğalı peç, Mənzil 24 saat işıq, qaz, su,. Binanın yeraltı avtodayanacağı var, böyüklərin və kiçiklərin istirahəti üçün gözəl və komfortlu həyəti var, ehtiyat içməli su hovuzu və elektrik generatoru var. Yerləşdiyi yer əlverişlidir məktəbi, uşaq bağçası, brend mağazaları, super mərketləri, ofisləri, brend kafe və restoranları, şadlıq sarayları, şəhərin istənilən yerinə rahat və komfortlu hərəkət
",28,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,,,
1908662,2021-02-16,Köhnə tikili,9 / 9,80 m²,3,var,102 000AZN,vasitəçi (agent),"Ehmedli metrosna piyada 5 deyqe mesafeda.Sarayevo kucesi.
9/9 mertebesi,orta blok,kiyev lahiyeli,
ela temirli menzil satilir.
Merkezi istilik sistemi.
Ofisin xidmet haqqi 1% teskil edir.",73,"Əhmədli m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,,,
1912802,2021-02-16,Yeni tikili,12 / 16,187 m²,4,yoxdur,412 000AZN,vasitəçi (agent),Elmler Akademiyasi erazisinde Baki Dovlet universitetine yaxin Favorit marketin yaxinliginda Renesans Palasda 4 - OTAQLI POD Mayak menzil satilir. Cox kefiyyetli binadi genish heyeti ve denize yaxshi menzeresi var.   Menzilin  yeralti  Qaraji  var  Qarajla  birlikde  satilir.,11,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,,,,
