id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
1869455,2021-01-21,Yeni tikili,6 / 6,160 m²,4,var,350 000AZN,vasitəçi (agent),"QAZLI+KUPÇALI BİNADA.

Premium binada Ağ şəhər TƏMİRLI RADNOY 4 otaqlı mənzil satılır.Mənzilin sahəsi 160 m2. Mənzil 6 mərtəbəli binanın 6-cı mərtəbəsində yerləşir. Qaz,su,işıq daimidir.
Binanın yaxınlığında metro,avtobus dayanacağı,brent dükanlar və ticarət mərkəzləri,məktəb,uşaq bağçası,restoranlar və s.

Ünvan:Ağ şəhər,Yaşıl ada küçəsi 1,1-ci sıra,""baku white city business center"" arxası.

НОВОСТРОЙКА С ГАЗОМ И КУПЧЕЙ!!! 

Белый Город, в элитной заселенной комплексе White City. Продаётся 4-х комнатная квартира. 6-й этаж 6-ти этажного дома. В квартире отличный ремонт. Общая площадь 160 кв.м .  Большие и светлое комнаты. Имеется встроенная кухонная мебель, душ-кабина, джакузи ванна, балкон. Отличная планировка, мраморные блоки, место для парковки, большой охраняемый двор, развитая инфраструктура Закрытый двор. Круглосуточно охраняемая территория. КУПЧА ЕСТЬ.

Адрес: Белый город,улица Яшил Ада 1,первый ряд ,позади ""baku white city business center"" .",15,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1869453,2021-01-21,Yeni tikili,4 / 18,175 m²,3,var,350 000AZN,mülkiyyətçi,"Yasamal rayonu Elmlər metrosu yaxınlığında Gömrük Hospitalı ilə üzbə üz “Caspian Terrace” yaşayış kompleksində 3 otaqlı mənzil satılır.Mənzil əla təmirlidir. Ümumi sahə 175 kv.m. Mərtəbə 18/4. 2 s/q , duş kabina, cakkuzi. 3 açıq balkon. Keyfiyyətli parket.Kafel metlax İspaniya. “Kombi”, split kondisioner. Mətbəx mebeli və qapilar Palitra firmasina məxsusdur. Bina 24 saat mühafizə edilir. MƏNZİL 2 OTAQLI YENİTİKİLİ MƏNZİLLƏRLƏ DƏYİŞDİRİLƏ BİLƏR. YALNIZ REAL MUSTERISI OLAN VASITECILER NARAHAT ETSIN!!! 350000 AZN",31,"İncəsənət və Mədəniyyət Un. 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,
1869452,2021-01-21,Yeni tikili,9 / 16,75 m²,3,var,110 000AZN,vasitəçi (agent),Baki şəhəri Binəqədi rayonu Qoşa Zaprafqanin  yaninda 16 mərtəbəli binanin 9 cu mərtəbəsində Kupçada 57 kv ama sonradan balkonuda acaraq otaq etdikdən sora 75 kv olan olan 2 otaqli təmirli mənzil satilir.Mənzil  1 qonaq otagindan 1 yataq otagindan  və 1 mətbəxtən ibarətdir və mənzilin sanuzelləri bir yerdədir.Mənzildə qaz su işiq daimidir.Mənzilin butun sənədləri qaydasindadir və mənzil şəkildə gorduynuz əşyalarla birgə satilir. Mənzil məktəbə metroya aliş veriş mərkəznə yaxin yerdə yerləşir.Əlavə məlumat almaq ucun əlaqə saxliya bilərsiz.Firmanin zəhmət haqqi 1 faizdir!!!,75,"Azadlıq Prospekti m.
"," Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,
1869451,2021-01-21,Yeni tikili,9 / 16,158 m²,3,yoxdur,2 526 400AZN,vasitəçi (agent),"Nesimi bazari , OLIYMPUS PARK Yasayis Kompleksi , 16/9   158 kv 3 otaqli temirsiz menzil satilir. Menzil Azadliq Prospektinin  Yeni tikilecek MALL ustundeki binada yerlesir. ",17,"Nəsimi bazarı 
"," Nəsimi r.
",,,,,,
1869450,2021-01-21,Köhnə tikili,9 / 9,56 m²,2,var,46 000AZN,mülkiyyətçi,Ev yolun kənarında Elmar marketə yaxın yerdədir. Təmirsizdir.Mərkəzi istilik sistemi var. Müəllimlər binasıdı. Real alıcıya endirim olunacaq.,28,"Sumqayıt
",,,,,,,
1869449,2021-01-21,Köhnə tikili,6 / 9,60 m²,2,var,90 000AZN,vasitəçi (agent),"TƏCİLİ SATILIR!

Atatürk pr-da, ən gözəl rayonunda 9/6 mərtəbəsində 2 otağlı orta remontlu ev satılır. Dokumentlar gaydasındadılar.",457,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,
1869448,2021-01-21,Köhnə tikili,2 / 5,120 m²,5,var,125 000AZN,mülkiyyətçi,"6-cı mikrorayon,5 mərtbəli bina, 2-ci mərtəbə.Təmirli.Döşəmə parket/mozaika.Kombi-istilik sistemi,kondisioner. Hər otağın eyvanı var.Eyvanların hamısında dolablar yığılıb",12,"Sumqayıt
",,,,,,,
1869447,2021-01-21,Yeni tikili,8 / 17,170 m²,4,var,230 000AZN,vasitəçi (agent),"Bakı şəhəri Nərimanov rayonu, Təbriz küçəsində, SU SONASİ şadlıq evinin yaxınlığında yerləşən, yeni inşa edilmiş 17 mərtəbəli binanın 8-ci mərtəbəsində 4 otaqli Təmirsiz, 170 kv.m sahəsi olan mənzil satılır. Mənzildə su,işıq,qaz daimi fasiləsiz verilir. Bina “MTK”-a tərəfindən yüksək səviyyədə inşa edilib. Binanın geniş həyəti, uşaq əyləncə parkı,2 mərtəbə yer alti avtomobil dayanacağı, 24saat mühafizəsi, bloklarında kodlu seyf qapıları siz alıcıların ixtiyarına verilir. Bina super marketlərə, ticarət mərkəzlərinə, uşaq baxçalarına, orta məktəblərə yaxın ərazidə inşa edilib. Mənzil haqqında ətraflı məlumat almaq istəyənlər aşağıdakı telefon nömrələri ilə əlaqə saxlaya bilərlər.",37,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,
1869446,2021-01-21,Yeni tikili,10 / 16,130 m²,3,var,238 000AZN,vasitəçi (agent),"Срочно! На Тбилиском проспекте, за «Нептун» маркетом, в престижном комплексе продается 3-х комнатная квартира общей площадью 130 кв.м.  10-ый этаж 16-ти этажного здания.Отличный ремонт, вода,свет, газ постоянно.Документ – купчая!Квартира полностью обставлена и оборудована. Мраморные блоки, скоростные лифты , подземные гаражи, место для парковки , большой охраняемый двор. 
Развитая инфраструктура (школа, лицей, детский сад, магазины, автобусная остановка и т.д.) Круглосуточно охраняемая территория.

Təcili! Tbilis pr-də, “Neptun” marketinin arxasında, elit yeni tikili binada 3 otaqlı mənzil satılır.Umümi sahə 130 kv.m.16 mərtəbəli binanın 10-cü mərtəbəsidir.Əla təmirli,su,işiq,gaz daimdır.Mənzil bütün mebel və texnika ilə təhciz edilib.Sənəd – kupça. .Genis ve isiqli otaqlar.Menzilin qarsisi aciqliqdi. Panorama şəhərə.Elit qonşular, rahat və əlverişli infrastruktur. Mərmər blok,  sürətli liftlər , yeraltı qaraj, 24 saat mühafizə.
",27,"Nəsimi r.
",,,,,,,
1869445,2021-01-21,Köhnə tikili,2 / 5,60 m²,3,var,98 000AZN,mülkiyyətçi,"Qara Qarayev metrosuna yaxin, Praqa restoranin arxasinda xruşovka layihəli 5 mertebeli  binanin orta blokun 2 ci metebesinde ev satilir. Doşeme palid parket. Butun balkonlar qatilib eve, ona gore ev lap genişdir. İcinde eşyaları və avadanliqları ilə birgə satılır: Paltaryuyan, kondisioner (siemens), Soyuducu (indesit), Televizor(Toshiba), kunc divan ve s. İki otaqda divardan yigma dolablar. Dehlizde de guzgulu dolab. Quraşdırılmış bahalı metbex mebeli. Yaxınlıqda 3 məktəb, 2 bagca var. Sakit, yaşıl həyət. Həyətdə uşaq meydancası və maşın saxlamaq ucun kifayət qədər yer var. Oz evimdir.",22,"Koala parkı 
"," Dostluq kinoteatrı 
"," Zoopark 
"," Nəsimi bazarı 
"," Nizami r.
"," 8-ci kilometr q.
",,
